string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
ui_resurgenceRespawnTimer,1,,c,a,0,0,2147483647,,,,,,#31 bits packed: ( 1 force,
ui_resurgenceRespawnTimer_solo,1,1,c,a,0,0,2147483647,,,,,,#31 bits packed: ( 1 force,
resurgence_tracked_teams,1,,c,i,0,0,2147483647,,,,,,#32bits packed: 8bits team 0, 8bits team 1, 8bits team 2, 8bits team 3,
resurgence_dataheist_state,1,,c,i,0,0,3,,,,,,#dataheist file download state,
resurgence_dataheist_progress,1,,c,f,0,0,1,,,,,,#dataheist file download progress,
ui_resurgence_care_request,1,,c,a,0,0,31,,,,,,#5 bits packed: 2 bits request state, 3 bits alive count
ui_resurgence_team_nemeses,1,,c,a,0,,,,,,,,#32 bits packed: 8 per squad member's killer,
ui_resurgence_action_feedback,1,,c,a,0,0,,,,,,,#14 bits packed: 3 bits for squad member's id, 11 bits for eventId
ui_havoc_show_mod,1,,g,i,-1,-1,99,,,,,,,
ui_havoc_score_threshold,1,,g,i,0,0,10,,,,,,,
ui_havoc_threshold_progress,1,,g,f,0,0,1,,,,,,,
ui_havoc_countdown_time,1,,g,t,0,,,,,,,,,
ui_havoc_countdown_progress,1,,g,f,0,0,1,,,,,,,
ui_havoc_mod_status_1,1,,g,i,-1,-1,99,,,,,,,
ui_havoc_mod_status_2,1,,g,i,-1,-1,99,,,,,,,
ui_havoc_mod_status_3,1,,g,i,-1,-1,99,,,,,,,
ui_havoc_mod_status_4,1,,g,i,-1,-1,99,,,,,,,
ui_havoc_mod_status_5,1,,g,i,-1,-1,99,,,,,,,
