string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,string,string,string,string,string,localized_a,string,localized_a
1,captured,a&CP_RAID_COMPLEX_JUGG_MAZE/ESCAPE_MAZE,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_capture_jugg_create_script,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
2,escapeWarehouse,a&CP_RAID_COMPLEX_JUGG_MAZE/ESCAPE_MAZE,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_capture_jugg_create_script,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
3,stealthSection,a&CP_RAID_COMPLEX_JUGG_MAZE/SECURE_HADIR_WARHEAD,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_jugg_maze_stealth_create_script,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
4,mineSection,a&CP_RAID_COMPLEX_JUGG_MAZE/SECURE_HADIR_WARHEAD,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_jugg_maze_create_script,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
5,turnoffGas,a&CP_RAID_COMPLEX_JUGG_MAZE/SECURE_WARHEAD,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_jugg_maze,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
6,phase1,a&CP_RAID_COMPLEX_JUGG_MAZE/SECURE_WARHEAD,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_jugg_maze,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
7,phase2,a&CP_RAID_COMPLEX_JUGG_MAZE/SECURE_WARHEAD,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_jugg_maze,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
8,phase3,a&CP_RAID_COMPLEX_JUGG_MAZE/SECURE_WARHEAD,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_jugg_maze,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
9,phase4,a&CP_RAID_COMPLEX_JUGG_MAZE/SECURE_WARHEAD,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_jugg_maze,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
10,airlockDoor,a&CP_RAID_COMPLEX_JUGG_MAZE/ELEVATOR,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_raid_complex_jugg_maze,,a&CP_RAID_COMPLEX_JUGG_MAZE/MAIN_TITLE,1,,,,,,,,a&CP_RAID_COMPLEX_TRANS/JUGG_MAZE,27,a&CP_CHECKPOINTS/ESCAPE_MAZE
