string,string,string,string
0,biobunker_boss,MP_BIOBUNKER/CALLOUT_BOSS_TAC,area
1,biobunker_controlroom,MP_BIOBUNKER/CALLOUT_CONTROLROOM_TAC,area
2,biobunker_dark,MP_BIOBUNKER/CALLOUT_DARK_TAC,area
3,biobunker_datacenter,MP_BIOBUNKER/CALLOUT_DATACENTER_TAC,area
4,biobunker_flooded,MP_BIOBUNKER/CALLOUT_FLOODED_TAC,area
5,biobunker_office,MP_BIOBUNKER/CALLOUT_OFFICE_TAC,area
6,biobunker_radiation,MP_BIOBUNKER/CALLOUT_RADIATION_TAC,area
7,biobunker_shop,MP_BIOBUNKER/CALLOUT_SHOP_TAC,area
8,callout_biobunker_boss,MP_BIOBUNKER/CALLOUT_BOSS_TAC,area
9,callout_biobunker_controlroom,MP_BIOBUNKER/CALLOUT_CONTROLROOM_TAC,area
10,callout_biobunker_dark,MP_BIOBUNKER/CALLOUT_DARK_TAC,area
11,callout_biobunker_datacenter,MP_BIOBUNKER/CALLOUT_DATACENTER_TAC,area
12,callout_biobunker_flooded,MP_BIOBUNKER/CALLOUT_FLOODED_TAC,area
13,callout_biobunker_office,MP_BIOBUNKER/CALLOUT_OFFICE_TAC,area
14,callout_biobunker_radiation,MP_BIOBUNKER/CALLOUT_RADIATION_TAC,area
15,callout_biobunker_shop,MP_BIOBUNKER/CALLOUT_SHOP_TAC,area
