string,string,string,string,string
de_homeboat_08,key,100,loot_key_de_stadium,consumable
de_homeboat_08,note,100,interactable_note_delta_02,consumable
de_firestation_01,key,100,loot_key_de_city_hall,consumable
de_firestation_01,note,100,interactable_note_delta_03,consumable
de_waterhome_04,key,100,loot_key_de_animal_care,consumable
de_waterhome_04,note,100,interactable_note_delta_04,consumable
de_bike_parking_02,key,100,loot_key_de_shopping_mall,consumable
de_bike_parking_02,note,100,interactable_note_delta_05,consumable
de_animal_care,key,100,loot_key_de_cruise_terminal,consumable
de_animal_care,note,100,interactable_note_delta_06,consumable
de_stadium,key,100,loot_key_de_shops_02,consumable
de_stadium,note,100,interactable_note_delta_08,consumable
de_cruise_terminal,key,100,loot_key_de_bike_parking_02,consumable
de_cruise_terminal,note,100,interactable_note_delta_09,consumable
de_shops_02,key,100,loot_key_de_firestation_01,consumable
de_shops_02,note,100,interactable_note_delta_12,consumable
de_block_01,key,100,loot_key_de_museum_02,consumable
de_block_01,note,100,interactable_note_delta_17,consumable
de_hangar_01,item1,100,loot_key_de_under_bridge,consumable
de_hangar_01,item2,100,brloot_valuable_harddrive_encrypted,consumable
de_hangar_01,item3,50,brloot_plate_carrier_3_comms,consumable
de_hangar_01,item4,100,interactable_note_delta_01,consumable
de_windmill,item1,100,loot_key_de_homeboat_08,consumable
de_windmill,item2,100,brloot_plunder_cash_common_1,consumable
de_windmill,item3,100,interactable_note_delta_07,consumable
de_windmill,item4,100,brloot_valuable_goldbar,consumable
de_museum_01,item1,100,loot_key_de_tunnel_01,consumable
de_museum_01,item2,100,brloot_valuable_blow_torch,consumable
de_museum_01,item3,100,interactable_note_delta_10,consumable
de_museum_01,item4,100,brloot_valuable_drill,consumable
de_museum_02,item1,100,loot_key_de_hangar_01,consumable
de_museum_02,item2,100,interactable_note_delta_11,consumable
de_museum_02,item3,100,brloot_plunder_cash_epic_2,consumable
de_museum_02,item4,100,brloot_valuable_game_console,consumable
de_homeboat_01,item1,100,loot_key_de_museum_01,consumable
de_homeboat_01,item2,100,weaponEpic,consumable
de_homeboat_01,item3,100,brloot_valuable_drill,consumable
de_homeboat_01,item4,100,brloot_valuable_freshwater,consumable
de_city_hall,item1,100,loot_key_de_stage_01,consumable
de_city_hall,item2,50,brloot_plate_carrier_tempered,consumable
de_city_hall,item3,100,interactable_note_delta_13,consumable
de_city_hall,item4,100,brloot_valuable_goldbar,consumable
de_stage_01,item1,100,loot_key_de_waterhome_04,consumable
de_stage_01,item2,100,brloot_valuable_gpu,consumable
de_stage_01,item3,100,interactable_note_delta_14,consumable
de_stage_01,item4,100,brloot_plunder_cash_epic_2,consumable
de_under_bridge,item1,100,loot_key_de_homeboat_01,consumable
de_under_bridge,item2,100,brloot_valuable_gold_skull,consumable
de_under_bridge,item3,100,brloot_plunder_cash_common_1,consumable
de_under_bridge,item4,100,brloot_valuable_game_console,consumable
de_tunnel_01,item1,100,loot_key_de_block_01,consumable
de_tunnel_01,item2,100,brloot_valuable_goldbar,consumable
de_tunnel_01,item3,100,interactable_note_delta_15,consumable
de_tunnel_01,item4,100,weaponEpic,consumable
de_shopping_mall,item1,100,loot_key_de_windmill,consumable
de_shopping_mall,item2,100,brloot_valuable_game_console,consumable
de_shopping_mall,item3,100,interactable_note_delta_16,consumable
de_shopping_mall,item4,100,brloot_offhand_binoculars,consumable
