string,string,string,string,string,string,int
zone,global,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Global,0
zone,loot_cache,mp/loot/br/default/lootset_cache_base.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Special,0
zone,sealion_gas,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_shipwreck,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_residential,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_treatment,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_castle,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_port,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_apartments,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_greenhouse,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_waterways,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_town,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_beach,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_ruins01,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,sealion_ruins02,mp/loot/br/sealion/resurgence/lootset_global.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
zone,brloot_ghosthunter_ghost,mp/loot/br/ghosthunter/lootset_ghost_zone.csv,mp/loot/br/sealion/resurgence/lootset_cache_spawns.csv,,#Zone,0
itemCache,br_loot_cache,mp/loot/br/default/lootset_cache_base.csv,,,50,0
itemCache,br_loot_cache_lege,mp/loot/br/default/lootset_cache_lege.csv,,,50,0
itemCache,br_loot_cache_april,mp/loot/br/default/lootset_cache_lege.csv,,,50,0
itemCache,br_reusable_loot_cache,mp/loot/br/sealion/resurgence/lootset_reusable_cache.csv,,,50,0
itemCache,br_loot_cache_stronghold,mp/loot/br/default/lootset_cache_stronghold.csv,,,20,0
itemCache,br_loot_cache_blacksite,mp/loot/br/default/lootset_cache_blacksite.csv,,,20,0
itemCache,br_scavenger_quest_cache,mp/loot/br/default/lootset_contract_scav1.csv,mp/loot/br/default/lootset_contract_scav2.csv,mp/loot/br/default/lootset_contract_scav3.csv,20,0
itemCache,dmz_supply_drop,mp/loot/br/default/lootset_supply_drop.csv,,,20,0
itemCache,brloot_assassination_phone,mp/loot/br/default/lootset_contract_asn.csv,,,20,0
itemCache,brloot_scavenger_phone,mp/loot/br/default/lootset_contract_scav1.csv,mp/loot/br/default/lootset_contract_scav2.csv,mp/loot/br/default/lootset_contract_scav3.csv,20,0
itemCache,brloot_vip_phone,mp/loot/br/default/lootset_contract_asn.csv,,,20,0
itemCache,brloot_timedrun_phone,mp/loot/br/default/lootset_contract_asn.csv,,,20,0
itemCache,brloot_safecracker_phone,mp/loot/br/default/lootset_contract_safe1.csv,,,20,0
itemCache,brloot_searchseizure_phone,mp/loot/br/default/lootset_contract_asn.csv,,,20,0
itemCache,cache_medicine_cabinet,mp/loot/br/default/lootset_cache_medicine_cabinet.csv,,,25,0
itemCache,cache_cash_register,mp/loot/br/default/lootset_cache_cash_register.csv,,,25,0
itemCache,cache_medical_box_wall,mp/loot/br/default/lootset_cache_medical_box_wall.csv,,,25,0
itemCache,dmz_hidden_container,mp/loot/br/default/lootset_cache_hidden_container.csv,,,25,0
itemCache,cache_duffel_bag_01,mp/loot/br/default/lootset_cache_duffel_bag.csv,,,25,0
itemCache,cache_duffel_bag_02,mp/loot/br/default/lootset_cache_duffel_bag.csv,,,25,0
itemCache,cache_weapon_locker,mp/loot/br/default/lootset_cache_weapon_locker.csv,,,25,0
scriptCache,agent_backpack,mp/loot/br/sealion/resurgence/lootset_agent_backpack.csv,100,,,0
scriptCache,sc_reusable_cache_restock,mp/loot/br/sealion/resurgence/lootset_reusable_cache.csv,100,,,0
scriptCache,br_quest_safe,mp/loot/br/default/lootset_contract_safe1.csv,21,,,0
initialScriptableState,br_loot_cache,closed_usable,,,,0
initialScriptableState,br_reusable_loot_cache,closed_usable,,,,0
initialScriptableState,br_loot_cache_lege,closed_usable,,,,0
initialScriptableState,br_loot_cache_april,closed_usable,,,,0
initialScriptableState,br_loot_cache_stronghold,closed_usable,,,,0
initialScriptableState,br_loot_cache_blacksite,closed_usable,,,,0
initialScriptableState,br_loot_cache_personal_supply,closed_usable,,,,0
initialScriptableState,brloot_backpack,closed_usable,,,,0
initialScriptableState,brloot_backpack_player_large,closed_usable,,,,0
initialScriptableState,brloot_backpack_player_medium,closed_usable,,,,0
initialScriptableState,brloot_backpack_player_small,closed_usable,,,,0
initialScriptableState,cache_cash_register,closed_usable,,,,0
initialScriptableState,cache_duffel_bag_01,closed_usable,,,,0
initialScriptableState,cache_duffel_bag_02,closed_usable,,,,0
initialScriptableState,cache_medical_box_wall,closed_usable,,,,0
initialScriptableState,cache_medicine_cabinet,closed_usable,,,,0
initialScriptableState,cache_weapon_locker,closed_usable,,,,0
initialScriptableState,dmz_hidden_container,closed_usable,,,,0
