string,string,string,localized_a,string,localized_a,localized_a,int
iw9_ar_mike4,iw9_rec_mike4,1,a&WEAPON/AR_MIKE4,icon_attachment_p01_ar_mike4_rec_v0,a&PERKS/AR_MIKE4,a&WEAPON/PLATFORM_01_NAME,0
iw9_ar_mike16,rec_mike16,1,a&WEAPON/AR_MIKE16,icon_attachment_p01_ar_mike16_rec_v0,a&PERKS/AR_MIKE16,a&WEAPON/PLATFORM_01_NAME,0
iw9_lm_foxtrot,rec_foxtrot,1,a&WEAPON/LM_FOXTROT,icon_attachment_p01_lm_foxtrot_rec_v0,a&PERKS/LM_FOXTROT,a&WEAPON/PLATFORM_01_NAME,0
iw9_br_msecho,rec_msecho,1,a&WEAPON/BR_MSECHO,icon_attachment_p01_dm_msecho_rec_v0,a&PERKS/BR_MSECHO,a&WEAPON/PLATFORM_01_NAME,0
iw9_sm_alpha57,rec_alpha57,1,a&WEAPON/SM_ALPHA57,icon_attachment_p01_sm_alpha57_rec_v0,a&PERKS/SM_ALPHA57,a&WEAPON/PLATFORM_01_NAME,0
iw9_ar_golf3,rec_golf3,2,a&WEAPON/AR_GOLF3,icon_attachment_p02_ar_golf3_rec_v0,a&PERKS/AR_GOLF3,a&WEAPON/PLATFORM_02_NAME,0
iw9_ar_kilo53,rec_kilo53,2,a&WEAPON/AR_KILO53,icon_attachment_p02_ar_kilo53_rec_v0,a&PERKS/AR_KILO53,a&WEAPON/PLATFORM_02_NAME,0
iw9_dm_pgolf1,rec_pgolf1,2,a&WEAPON/DM_PGOLF1,icon_attachment_p02_dm_pgolf1_rec_v0,a&PERKS/DM_PGOLF1,a&WEAPON/PLATFORM_02_NAME,0
iw9_lm_kilo21,rec_kilo21,2,a&WEAPON/LM_KILO21,icon_attachment_p02_lm_kilo21_rec_v0,a&PERKS/LM_KILO21,a&WEAPON/PLATFORM_02_NAME,0
iw9_sm_mpapa5,rec_mpapa5_mp,2,a&WEAPON/SM_MPAPA5,icon_attachment_p02_sm_mpapa5_rec_v0,a&PERKS/SM_MPAPA5,a&WEAPON/PLATFORM_02_NAME,0
iw9_ar_augolf,iw9_rec_augolf,3,a&WEAPON/AR_AUGOLF,icon_attachment_p03_ar_augolf_rec_v0,a&PERKS/AR_AUGOLF,a&WEAPON/PLATFORM_03_NAME,0
iw9_sm_apapa,rec_apapa,3,a&WEAPON/SM_APAPA,icon_attachment_p03_sm_apapa_rec_v0,a&PERKS/SM_APAPA,a&WEAPON/PLATFORM_03_NAME,0
iw9_lm_ahotel,rec_ahotel,3,a&WEAPON/LM_AHOTEL,icon_attachment_p03_lm_ahotel_rec_v0,a&PERKS/LM_AHOTEL,a&WEAPON/PLATFORM_03_NAME,0
iw9_ar_akilo,rec_akilo,4,a&WEAPON/AR_AKILO47,icon_attachment_p04_ar_akilo_rec_v0,a&PERKS/AR_AKILO47,a&WEAPON/PLATFORM_04_NAME,0
iw9_ar_akilo105,rec_akilo105,4,a&WEAPON/AR_AKILO105,icon_attachment_p04_ar_akilo105_rec_v0,a&PERKS/AR_AKILO105,a&WEAPON/PLATFORM_04_NAME,0
iw9_ar_akilo74,rec_akilo74,4,a&WEAPON/AR_AKILO74,icon_attachment_p04_ar_akilo74_rec_v0,a&PERKS/AR_AKILO74,a&WEAPON/PLATFORM_04_NAME,0
iw9_sm_aviktor,rec_aviktor,4,a&WEAPON/SM_AVIKTOR,icon_attachment_p04_sm_aviktor_rec_v0,a&PERKS/SM_AVIKTOR,a&WEAPON/PLATFORM_04_NAME,0
iw9_sm_beta,iw9_rec_beta,4,a&WEAPON/SM_BETA,icon_attachment_p04_sm_beta_rec_v0,a&PERKS/SM_BETA,a&WEAPON/PLATFORM_04_NAME,0
iw9_lm_rkilo,rec_rkilo,4,a&WEAPON/LM_RKILO,icon_attachment_p04_lm_rkilo_rec_v0,a&PERKS/LM_RKILO,a&WEAPON/PLATFORM_04_NAME,0
iw9_ar_scharlie,iw9_rec_scharlie,5,a&WEAPON/AR_SCHARLIE,icon_attachment_p05_ar_scharlie_rec_v0,a&PERKS/AR_SCHARLIE,a&WEAPON/PLATFORM_05_NAME,0
iw9_ar_schotel,rec_schotel,5,a&WEAPON/AR_SCHOTEL,icon_attachment_p05_ar_schotel_rec_v0,a&PERKS/AR_SCHOTEL,a&WEAPON/PLATFORM_05_NAME,0
iw9_dm_scromeo,rec_scromeo,5,a&WEAPON/DM_SCROMEO,icon_attachment_p05_dm_scromeo_rec_v0,a&PERKS/DM_SCROMEO,a&WEAPON/PLATFORM_05_NAME,0
iw9_sm_papa90,iw9_rec_papa90,7,a&WEAPON/SM_PAPA90,icon_attachment_p07_sm_papa90_rec_v0,a&PERKS/SM_PAPA90,a&WEAPON/PLATFORM_07_NAME,0
iw9_sm_mpapax,rec_mpapax,8,a&WEAPON/SM_MPAPAX,icon_attachment_p08_sm_mpapax_rec_v0,a&PERKS/SM_MPAPAX,a&WEAPON/PLATFORM_08_NAME,0
iw9_ar_mcharlie,iw9_rec_mcharlie,8,a&WEAPON/AR_MCHARLIE,icon_attachment_p08_ar_mcharlie_rec_v0,a&PERKS/AR_MCHARLIE,a&WEAPON/PLATFORM_08_NAME,0
iw9_ar_mcbravo,rec_mcbravo,8,a&WEAPON/AR_MCBRAVO,icon_attachment_p08_ar_mcbravo_rec_v0,a&PERKS/AR_MCBRAVO,a&WEAPON/PLATFORM_08_NAME,0
iw9_sm_mpapa7,rec_mpapa7,9,a&WEAPON/SM_MPAPA7,icon_attachment_p09_sm_mpapa7_rec_v0,a&PERKS/SM_MPAPA7,a&WEAPON/PLATFORM_09_NAME,0
iw9_sm_victor,iw9_rec_victor,10,a&WEAPON/SM_VICTOR,icon_attachment_p10_sm_victor_rec_v0,a&PERKS/SM_VICTOR,a&WEAPON/PLATFORM_10_NAME,0
iw9_sh_mike1014,rec_mike1014,12,a&WEAPON/SH_MIKE1014,icon_attachment_p12_sh_mike1014_rec_v0,a&PERKS/SH_MIKE1014,a&WEAPON/PLATFORM_12_NAME,0
iw9_sh_mbravo,rec_mbravo,13,a&WEAPON/SH_MBRAVO,icon_attachment_p13_sh_mbravo_rec_v0,a&PERKS/SH_MBRAVO,a&WEAPON/PLATFORM_13_NAME,0
iw9_sh_mviktor,rec_mviktor,13,a&WEAPON/SH_MVIKTOR,icon_attachment_p13_sh_mviktor_rec_v0,a&PERKS/SH_MVIKTOR,a&WEAPON/PLATFORM_13_NAME,0
iw9_sh_charlie725,iw9_rec_charlie725,14,a&WEAPON/SH_CHARLIE725,icon_attachment_p14_sh_charlie725_rec_v0,a&PERKS/SH_CHARLIE725,a&WEAPON/PLATFORM_14_NAME,0
iw9_lm_slima,rec_slima,16,a&WEAPON/LM_SLIMA,icon_attachment_p16_lm_slima_rec_v0,a&PERKS/LM_SLIMA,a&WEAPON/PLATFORM_16_NAME,0
iw9_lm_ngolf7,rec_ngolf7,17,a&WEAPON/LM_NGOLF7,icon_attachment_p17_lm_ngolf7_rec_v0,a&PERKS/LM_NGOLF7,a&WEAPON/PLATFORM_17_NAME,0
iw9_dm_mike14,iw9_rec_mike14,18,a&WEAPON/DM_MIKE14,icon_attachment_p18_dm_mike14_rec_v0,a&PERKS/DM_MIKE14,a&WEAPON/PLATFORM_18_NAME,0
iw9_br_soscar14,rec_soscar14,18,a&WEAPON/BR_SOSCAR14,icon_attachment_p18_dm_soscar14_rec_v0,a&PERKS/BR_SOSCAR14,a&WEAPON/PLATFORM_18_NAME,0
iw9_dm_sbeta,iw9_rec_sbeta,19,a&WEAPON/DM_SBETA,icon_attachment_p19_dm_sbeta_rec_v0,a&PERKS/DM_SBETA,a&WEAPON/PLATFORM_19_NAME,0
iw9_dm_mike24,rec_mike24,20,a&WEAPON/DM_MIKE24,icon_attachment_p20_dm_mike24_rec_v0,a&PERKS/DM_MIKE24,a&WEAPON/PLATFORM_20_NAME,0
iw9_dm_sa700,rec_sa700,20,a&WEAPON/DM_SA700,icon_attachment_p20_dm_sa700_rec_v0,a&PERKS/DM_SA700,a&WEAPON/PLATFORM_20_NAME,0
iw9_dm_la700,rec_la700,20,a&WEAPON/DM_LA700,icon_attachment_p20_sn_la700_rec_v0,a&PERKS/DM_LA700,a&WEAPON/PLATFORM_20_NAME,0
iw9_dm_xmike2010,rec_xmike2010,20,a&WEAPON/DM_XMIKE2010,icon_attachment_p20_sn_xmike2010_rec_v0,a&PERKS/DM_XMIKE2010,a&WEAPON/PLATFORM_20_NAME,0
iw9_sn_mromeo,rec_mromeo,21,a&WEAPON/SN_MROMEO,icon_attachment_p21_sn_mromeo_rec_v0,a&PERKS/SN_MROMEO,a&WEAPON/PLATFORM_21_NAME,0
iw9_sn_limax,rec_limax,22,a&WEAPON/SN_LIMAX,icon_attachment_p22_sn_limax_rec_v0,a&PERKS/SN_LIMAX,a&WEAPON/PLATFORM_22_NAME,0
iw9_sn_alpha50,rec_alpha50,23,a&WEAPON/SN_ALPHA50,icon_attachment_p23_sn_alpha50_rec_v0,a&PERKS/SN_ALPHA50,a&WEAPON/PLATFORM_23_NAME,0
iw9_pi_golf17,rec_golf17,24,a&WEAPON/PI_GOLF17,icon_attachment_p24_pi_golf17_rec_v0,a&PERKS/PI_GOLF17,a&WEAPON/PLATFORM_24_NAME,0
iw9_pi_golf18,rec_golf18,24,a&WEAPON/PI_GOLF18,icon_attachment_pi_golf18_rec,a&PERKS/PI_GOLF18,a&WEAPON/PLATFORM_24_NAME,0
iw9_pi_decho,rec_decho,25,a&WEAPON/PI_DECHO,icon_attachment_p25_pi_decho_rec_v0,a&PERKS/PI_DECHO,a&WEAPON/PLATFORM_25_NAME,0
iw9_pi_swhiskey,rec_swhiskey,26,a&WEAPON/PI_SWHISKEY,icon_attachment_p26_pi_swhiskey_rec_v0,a&PERKS/PI_SWHISKEY,a&WEAPON/PLATFORM_26_NAME,0
iw9_pi_papa220,rec_papa220,27,a&WEAPON/PI_PAPA220,icon_attachment_p27_pi_papa220_rec_v0,a&PERKS/PI_PAPA220,a&WEAPON/PLATFORM_27_NAME,0
iw9_dm_crossbow,iw9_rec_crossbow,38,a&WEAPON/DM_CROSSBOW,icon_attachment_p38_dm_crossbow_rec_v0,a&PERKS/DM_CROSSBOW,a&WEAPON/PLATFORM_38_NAME,0
iw9_sh_vecho,rec_vecho,4,a&WEAPON/SH_VECHO,icon_attachment_p04_sh_vecho_rec_v0,a&PERKS/SH_VECHO,a&WEAPON/PLATFORM_04_NAME,0
iw9_ar_acharlie300,rec_acharlie300,43,a&WEAPON/AR_ACHARLIE300,icon_attachment_p43_ar_acharlie300_rec_v0,a&PERKS/AR_ACHARLIE300,a&WEAPON/PLATFORM_43_NAME,0
iw9_dm_stango25,rec_stango25,1,a&WEAPON/DM_STANGO25,icon_attachment_p01_dm_stango25_rec_v0,a&PERKS/DM_STANGO25,a&WEAPON/PLATFORM_01_NAME,0
iw9_sn_india,rec_india,53,a&WEAPON/SN_INDIA,icon_attachment_p53_sn_india_rec_v0,a&PERKS/SN_INDIA,a&WEAPON/PLATFORM_053_NAME,0
iw9_br_ngsierra,rec_ngsierra,42,a&WEAPON/BR_NGSIERRA,icon_attachment_p42_ar_ngsierra_rec_v0,a&PERKS/BR_NGSIERRA,a&WEAPON/PLATFORM_42_NAME,0
iw9_pi_tango9,rec_tango9,49,a&WEAPON/PI_TANGO9,icon_attachment_p49_pi_tango9_rec_v0,a&PERKS/PI_TANGO9,a&WEAPON/PLATFORM_49_NAME,0
iw9_pi_dechoauto,rec_dechoauto,25,a&WEAPON/PI_DECHOAUTO,icon_attachment_p25_pi_decho_rec_v0,a&PERKS/PI_DECHOAUTO,a&WEAPON/PLATFORM_25_NAME,0
iw9_ar_helima,rec_helima,52,a&WEAPON/AR_HELIMA,icon_attachment_p52_ar_helima_rec_v0,a&PERKS/AR_HELIMA,a&WEAPON/PLATFORM_52_NAME,0
iw9_sm_acharlie45,rec_acharlie45,43,a&WEAPON/SM_ACHARLIE45,icon_attachment_p43_sm_acharlie45_rec_v0,a&PERKS/SM_ACHARLIE45,a&WEAPON/PLATFORM_43_NAME,0
iw9_sh_tsierra12,rec_tsierra12,44,a&WEAPON/SH_TSIERRA12,icon_attachment_p44_sh_tsierra12_rec_v0,a&PERKS/SH_TSIERRA12,a&WEAPON/PLATFORM_44_NAME,0
iw9_ar_ralpha,rec_ralpha,8,a&WEAPON/AR_RALPHA,icon_attachment_p08_ar_ralpha_rec_v0,a&PERKS/AR_RALPHA,a&WEAPON/PLATFORM_08_NAME,0
iw9_ar_fecho,rec_fecho,6,a&WEAPON/AR_FECHO,icon_attachment_p06_ar_fecho_rec_v0,a&PERKS/AR_FECHO,a&WEAPON/PLATFORM_06_NAME,0
iw9_sn_walpha,rec_walpha,54,a&WEAPON/SN_WALPHA,icon_attachment_p54_sn_walpha_rec_v0,a&PERKS/SN_WALPHA,a&WEAPON/PLATFORM_54_NAME,0
iw9_sm_sdelta,rec_sdelta,2,a&WEAPON/SM_SDELTA,icon_attachment_p02_sm_sdelta_rec_v0,a&PERKS/SM_SDELTA,a&WEAPON/PLATFORM_02_NAME,0
iw9_pi_mike2011,rec_mike2011,55,a&WEAPON/PI_MIKE2011,icon_attachment_p55_pi_mike2011_rec_v0,a&PERKS/PI_MIKE2011,a&WEAPON/PLATFORM_55_NAME,0
iw9_ar_malima,rec_malima,56,a&WEAPON/AR_MALIMA,icon_attachment_p56_ar_malima_rec_v0,a&PERKS/AR_MALIMA,a&WEAPON/PLATFORM_56_NAME,0
iw9_sm_acharlie9,rec_acharlie9,43,a&WEAPON/SM_ACHARLIE9,icon_attachment_p43_sm_acharlie9_rec_v0,a&PERKS/SM_ACHARLIE9,a&WEAPON/PLATFORM_43_NAME,0
iw9_lm_mkilo3,iw9_rec_mkilo3,15,a&WEAPON/LM_MKILO3,icon_attachment_p15_lm_mkilo3_rec_v0,a&PERKS/LM_MKILO3,a&WEAPON/PLATFORM_15_NAME,0
