string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string
0,saba_hydro,a&MP_SABA/CALLOUT_HYDRO_TAC,area,,1,0.45,0.44,2000,,,#(-8731,8945, 379)
1,saba_oilfield,a&MP_SABA/CALLOUT_OILFIELD_TAC,area,,1,0.368,0.335,2000,,,#(-21591,23953, -152)
2,saba_exhume,a&MP_SABA/CALLOUT_EXHUME_TAC,area,,1,0.2,0.44,2000,,,#(-48189,12062, 640)
3,saba_caves,a&MP_SABA/CALLOUT_CAVES_TAC,area,,1,0.342,0.53,2000,,,#(-25911,-1467, 1940)
4,saba_observatory,a&MP_SABA/CALLOUT_OBSERVATORY_TAC,area,,1,0.48,0.59,2000,,,#(-1873,-13937, 4859)
5,saba_oasis,a&MP_SABA/CALLOUT_OASIS_TAC,area,,0,0.35,0.2,2000,,,#(6734  51714),,
6,saba_wartorn,a&MP_SABA/CALLOUT_WARTORN_TAC,area,,1,0.45,0.21,2000,,,#(-11647,39132, 627)
7,saba_moderncity,a&MP_SABA/CALLOUT_MODERNCITY_TAC,area,,1,0.6,0.335,2000,,,#(13570,23012, 330)
8,saba_marshland,a&MP_SABA/CALLOUT_MARSHLAND_TAC,area,,1,0.61,0.48,2000,,,#(16029,168, 327)
9,saba_mtntwn,a&MP_SABA/CALLOUT_MTNTWN_TAC,area,,1,0.61,0.57,2000,,,#(17854 -13830 2929),,
10,saba_oldtwn,a&MP_SABA/CALLOUT_OLDTWN_TAC,area,,1,0.56,0.64,2000,,,#(10571,-25792, 1168)
11,saba_airport,a&MP_SABA/CALLOUT_AIRPORT_TAC,area,,1,0.69,0.72,2000,,,#(28110,-31583, 409)
12,saba_fort,a&MP_SABA/CALLOUT_FORT_TAC,area,,1,0.61,0.835,2000,,,#(18569,-54010, 1082)
13,saba_fishtwn,a&MP_SABA/CALLOUT_FISHTWN_TAC,area,,1,0.518,0.765,2000,,,#(-355,-41055, 260)
14,saba_sunken,a&MP_SABA/CALLOUT_SUNKEN_TAC,area,,1,0.317,0.82,2000,,,#(-29119,-48954, 198)
15,saba_cemetery,a&MP_SABA/CALLOUT_CEMETERY_TAC,area,,1,0.378,0.745,2000,,,#(6734  51714),,
16,saba_sira,a&MP_SABA/CALLOUT_SIRA_TAC,area,,1,0.315,0.635,2000,,,#(-32623,-22562, 311)
17,saba_lone,a&MP_SABA/CALLOUT_LONE_TAC,area,,1,0.21,0.605,2000,,,#(-47972,-15315, 314)
18,saba_saba,a&MP_SABA/CALLOUT_SABA_TAC,area,,0,0,0,0,,,,,
