string,string,string,string,localized_a,string,xhashdvar,string,string,localized_a,int
top,plunderExtraction,ui_map_icon_top_earners_piggy,IW9StyleGuide.styleGuideFeatured01,a&MP_BR_INGAME/EXTRACTION_SITE,,@#scr_br_plunder_sites,,,a&,0
top,plunderBalloon,ui_map_icon_cash_balloon,BattleRoyale.BRPocketPlunder,a&MP_BR_INGAME/EXTRACTION_BALLOON,,@#,,,a&,0
top,atmCache,ui_map_icon_atm,BattleRoyale.BRPocketPlunder,a&MP_BR_INGAME/ATM_CACHE,,@#hash_a6b7002b1a7fef73,,,a&,0
top,topEarner,ui_map_icon_marked_leader,IW9StyleGuide.styleGuideMatchEnemyHighlight,a&MP_BR_INGAME/TOP_EARNER,,@#,,,a&,0
top,cashHoarder,ui_map_icon_top_earners,IW9StyleGuide.styleGuideMatchEnemyHighlight,a&MP_BR_INGAME/CASH_HOARDER,,@#,,,a&,0
top,plunderChopper,hud_icon_minimap_vehicle_heli_blima,IW9StyleGuide.styleGuideFeatured01,a&VEHICLES/LOOT_CHOPPER,,@#,,,a&,0
top,plunderDrop,ui_map_icon_cash_drop,IW9StyleGuide.styleGuideFeatured01,a&MP_BR_INGAME/CASH_DROP,,@#,,,a&,0
middle,trophyUploadStation,ui_map_icon_trophy_s03,,a&MP/SCORPION_TROPHY_BANK,,@#scr_scorpiontrophyevent,,,a&,0
middle,armoryKiosk,ui_map_icon_poi_shop,,a&MP_BR_INGAME/ARMORY_KIOSK,,@#scr_br_armory_kiosk,,,a&,0
middle,deployableBuyStation,ui_map_icon_portable_buystation,,a&EQUIPMENT/DEPLOYABLE_KIOSK_MARKER,,@#scr_br_armory_kiosk,,,a&,0
middle,gas,ui_map_icon_gas_land,,a&MP_BR_INGAME/GAS_STATION,,@#,,,a&,0
middle,ammocache,ui_map_icon_ammo_cache,,a&MP_BR_INGAME/AMMO_CACHE,,@#,,,a&,0
middle,fortress,ui_map_icon_stronghold,,a&MP_BR_INGAME/FORTRESS,,@#hash_9adec631e1eee04a,,,a&,0
middle,abandonedCache,ui_map_icon_loot_cache,BattleRoyale.BRPocketPlunder,a&MP_BR_INGAME/ABANDONEDCACHE,,@#hash_4af62e57f66d060b,,,a&,0
middle,redeployDrone,ui_map_icon_redeploy_drone,,a&VEHICLES/REDEPLOY_DRONE,,@#redeploy_ascenders_enabled,,,a&,0
bottom,contracts,,,a&,1,@#,,,a&,0
