string,string,string,string,string,string,string,string
player64x64x256,,4082,16607,-3733,0,0,0
player64x64x64,,4082,16607,-3477,0,0,0
player256x256x128,,-780,13412,-3564,0,-90,96
player256x256x128,,-780,13156,-3564,0,-90,96
player256x256x128,,-724,12962,-3564,0,-45,96
player256x256x128,,-564,12896,-3564,0,0,96
player256x256x128,,4,12896,-3564,0,0,96
player256x256x128,,150,12952,-3564,0,45,96
player256x256x128,,214,13146,-3564,0,90,96
player256x256x128,,214,13402,-3564,0,90,96
player256x256x128,,259,11862,-4091,0,45,90
player128x128x128,,467,11503,-4219,0,45,0
player64x64x64,,460,11544,-4099,0,225,-15
player128x128x128,,580,11390,-4219,0,45,0
player64x64x64,,619,11381,-4099,0,45,-15
player256x256x128,,849,11272,-4091,0,45,90
player32x32x256,,-955,7233,-3822,0,0,0
player32x32x256,,-951,5225,-3822,0,0,0
player64x64x64,,11067,17691,-3410,0,0,0
player64x64x64,,11078,17691,-3410,0,0,0
player64x64x64,,11384,17701,-3418,0,0,0
player32x32x128,,11310,17442,-3492,0,0,0
player32x32x128,,11276,17442,-3492,0,0,0
player32x32x128,,11242,17442,-3492,0,0,0
