string,string,string,string,string,string,int
zone,global,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Global,0
zone,loot_cache,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Special,0
zone,delta_station,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_cityhall,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_library,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_firestation,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_policestation,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_zoo,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_cemetary,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_castle,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_museum,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_terminal,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_nemo,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_shoppingcenter,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_stadium,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_fleamarket,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
zone,delta_floatinghouses,mp/loot/br/delta/zonecontrol/lootset_global.csv,mp/loot/br/delta/zonecontrol/lootset_cache_spawns.csv,,#Zone,0
