string,string,localized_a,localized_a,string,localized_a,string,string,string,string,string,string,localized_a,string,localized_a,string,string
1,assassination,a&LUA_MENU_MP/MISSION_ASSASSIN_1_TITLE,a&,,a&MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,ui_mp_br_mapmenu_icon_assassin_objective,assassin,1,p,,brloot_assassination_tablet,a&,ui_mp_br_mapmenu_legend_tablet_assassin,a&MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,
2,assassination_all,a&LUA_MENU_MP/MISSION_ASSASSIN_1_TITLE,a&,,a&MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,ui_mp_br_mapmenu_icon_assassin_objective,assassin_all,0,p,,,a&,ui_mp_br_mapmenu_legend_tablet_assassin,a&MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,
3,assassination_all_timed,a&LUA_MENU_MP/MISSION_ASSASSIN_2_TITLE,a&,,a&MP_BR_INGAME/MISSION_ASSASSIN_TARGET_2,ui_mp_br_mapmenu_icon_assassin_objective,assassin_all,1,p,,,a&,ui_mp_br_mapmenu_legend_tablet_assassin,a&MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,
4,domination,a&LUA_MENU_MP/MISSION_DOM_1_TITLE,a&MP_BR_INGAME/MISSION_DOM_1_DESC,,a&,ui_mp_br_mapmenu_icon_dom_objective,domination,0,,,brloot_domination_tablet,a&MP_BR_INGAME/MISSION_DOM_1_EXTRA_REWARD,ui_mp_br_mapmenu_legend_tablet_dom,a&MP_BR_INGAME/DOMINATION_CONTRACT,ui_mp_br_contracts_splash_icon_dom,
5,timedrun,a&LUA_MENU_MP/MISSION_TIMEDRUN_1_TITLE,a&MP_BR_INGAME/MISSION_TIMEDRUN_1_DESC,,a&,ui_mp_br_mapmenu_icon_timedrun_objective,timed_run,1,,,brloot_timedrun_tablet,a&,ui_mp_br_mapmenu_legend_tablet_timedrun,a&MP_BR_INGAME/TIMEDRUN_CONTRACT,ui_mp_br_contracts_splash_icon_timerun,
6,scavenger,a&LUA_MENU_MP/MISSION_SCAVENGERHUNT_1_TITLE,a&MP_BR_INGAME/MISSION_SCAVENGERHUNT_1_DESC,3,a&LUA_MENU_MP/PROGRESS_TOTAL,ui_mp_br_mapmenu_icon_scavengerhunt_objective,scavenger_3,0,i,1,brloot_scavenger_tablet,a&,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,a&MP_BR_INGAME/SCAVENGER_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,
7,collection,a&LUA_MENU_MP/MISSION_SCAVENGERHUNT_1_TITLE,a&MP_BR_INGAME/MISSION_SCAVENGERHUNT_1_DESC,10,a&LUA_MENU_MP/PROGRESS_TOTAL,ui_mp_br_mapmenu_icon_scavengerhunt_objective,default,,i,1,,a&,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,a&MP_BR_INGAME/SCAVENGER_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,
8,vip,a&LUA_MENU_MP/MISSION_VIP_1_TITLE,a&,,a&MP_BR_INGAME/MISSION_VIP_TARGET_1,ui_mp_br_mapmenu_icon_vip_objective,vip,1,p,,brloot_vip_tablet,a&,ui_mp_br_mapmenu_legend_tablet_vip,a&MP_BR_INGAME/VIP_CONTRACT,ui_mp_br_contracts_splash_icon_hvt,
9,gt_extract_1,a&LUA_MENU_MP/EXTRACT_MISSION_1_TITLE,a&MP_BR_INGAME/EXTRACT_MISSION_1_DESC,,a&MP_BR_INGAME/EXTRACT_MISSION_TARGET,ui_mp_br_mapmenu_icon_helipad,default,0,i,,,a&,,a&,,
10,gt_evac,a&LUA_MENU_MP/EVAC_MISSION_TITLE,a&MP_BR_INGAME/EVAC_MISSION_DESC,,a&,ui_mp_br_mapmenu_icon_helipad,default,0,,,,a&,,a&,,
11,blueprintextract,a&LUA_MENU_MP/MISSION_EXTRACT_1_TITLE,a&,,a&MP_BR_INGAME/MISSION_EXTRACT_TARGET_1,ui_mp_br_mapmenu_icon_extraction_objective,blueprintextract,1,p,1,brloot_blueprintextract_tablet,a&,ui_mp_br_mapmenu_legend_tablet_dom,a&MP_BR_INGAME/DOMINATION_CONTRACT,ui_mp_br_contracts_splash_icon_extraction,BRLootItemRarity.SpecialMission
12,attraction_racetrack,a&,a&,,a&,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,attraction_racetrack,1,,,br_attraction_rt,a&,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,a&MP_BR_INGAME/ATTRACT_RT_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,
13,attraction_racetrack_heli,a&,a&,,a&,ui_mp_br_mapmenu_icon_poi_sb_race_helo,attraction_racetrack,1,,,br_attraction_rt_h,a&,ui_mp_br_mapmenu_icon_poi_sb_race_helo,a&MP_BR_INGAME/ATTRACT_RT_HELI_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_helo,
14,attraction_racetrack_parachute,a&,a&,,a&,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,attraction_racetrack,1,,,br_attraction_rt_p,a&,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,a&MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,
15,intel,a&CP_INCURSION/INTEL_CONTRACT_TITLE,a&CP_INCURSION/INTEL_CONTRACT_DESC,,a&,ui_mp_br_mapmenu_icon_scavengerhunt_objective,intel,0,,,brloot_intel_tablet,a&,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,a&CP_INCURSION/INTEL_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,
16,secretstash,a&LUA_MENU_MP/MISSION_SECRETSTASH_1_TITLE,a&MP_BR_INGAME/MISSION_SECRETSTASH_1_DESC,,a&,ui_mp_br_mapmenu_icon_scavengerhunt_objective,secretstash,1,,,brloot_secretstash_tablet,a&,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,a&MP_BR_INGAME/SECRETSTASH_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,
16,smokinggun,a&LUA_MENU_MP/MISSION_SMOKINGGUN_1_TITLE,a&MP_BR_INGAME/MISSION_SMOKINGGUN_1_DESC,10,a&LUA_MENU_MP/PROGRESS_TOTAL,ui_mp_br_mapmenu_icon_assassin_objective,default,1,i,1,,a&,ui_mp_br_mapmenu_legend_tablet_assassin,a&MP_BR_INGAME/SMOKINGGUN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,
