string,string,localized_a,string,string
0,center,a&MP_M_FIGHT/CENTER,area,
1,shoothouse_one,a&MP_M_FIGHT/SHOOTHOUSE_ONE,area,
2,shoothouse_two,a&MP_M_FIGHT/SHOOTHOUSE_TWO,area,
3,shoothouse_three,a&MP_M_FIGHT/SHOOTHOUSE_THREE,area,
4,shoothouse_four,a&MP_M_FIGHT/SHOOTHOUSE_FOUR,area,
5,entrance,a&MP_M_FIGHT/ENTRANCE,area,
6,container,a&MP_M_FIGHT/CONTAINER,area,
7,van,a&MP_M_FIGHT/VAN,area,
8,rappel_tower,a&MP_M_FIGHT/RAPPEL_TOWER,area,
9,metal_deck,a&MP_M_FIGHT/METAL_DECK,area,
10,wooden_deck,a&MP_M_FIGHT/WOODEN_DECK,area,
