string,string,string,localized_a,localized_a,string,string,string,string,string,string,string
plunder_tiny,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,175,100,90,65,
plunder_small,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,340,225,170,155,
plunder_medium,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,500,325,255,225,
plunder_large,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,785,495,390,335,
plunder_extra_large,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,925,660,515,450,
plunder_huge,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1260,785,625,540,
plunder_medium_1x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_1X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,600,375,300,270,
plunder_medium_2x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_2X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1200,750,600,525,
plunder_medium_3x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_3X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1800,1125,900,795,
plunder_medium_4x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_4X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,2400,1500,1200,1050,
xp_small,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,1000,1000,1000,1000,
xp_medium,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,2500,2500,2500,2500,
xp_large,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,4000,4000,4000,4000,
xp_extra_large,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,4500,4500,4500,4500,
xp_huge,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,5000,5000,5000,5000,
xp_medium_1x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_1X,a&,,br_reward_mission_xp,500,500,500,500,
xp_medium_2x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_2X,a&,,br_reward_mission_xp,600,600,600,600,
xp_medium_3x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_3X,a&,,br_reward_mission_xp,700,700,700,700,
xp_medium_4x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_4X,a&,,br_reward_mission_xp,800,800,800,800,
