string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,localized_a,localized_a,localized_a,localized_a,localized_a
1,chyrons,a&,,,,,,,,,,,,,,,,,,,,,,,,,,a&,,,,a&CP_CHYRONS/R1B1_LINE1,a&CP_CHYRONS/R1B1_LINE2,a&CP_CHYRONS/R1B1_LINE3,a&CP_CHYRONS/R1B1_LINE4,a&CP_CHYRONS/R1B1_LINE5
2,boss1_p0,a&CP_RAID1_BOSS1/OBJ_SUBBAY,,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,1,1,,a&,a&,a&,a&,a&
3,boss1_p1,a&CP_RAID1_BOSS1/OBJ_SUBBAY,,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,1,,,a&,a&,a&,a&,a&
4,boss1_p2,a&CP_RAID1_BOSS1/OBJ_SUBBAY,,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,1,,,a&,a&,a&,a&,a&
5,boss1_p3,a&CP_RAID1_BOSS1/OBJ_FINAL,,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,2,,,a&,a&,a&,a&,a&
6,boss1_fil,a&CP_RAID1_BOSS1/OBJ_TRANSITION,,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,1,1,,a&,a&,a&,a&,a&
7,boss1_fil_end,a&CP_RAID1_BOSS1/OBJ_TRANSITION,,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,1,,,a&,a&,a&,a&,a&
8,boss1_fil_vent,a&CP_RAID1_BOSS1/OBJ_TRANSITION,,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,1,,,a&,a&,a&,a&,a&
9,boss1_silo,a&CP_RAID1_BOSS1/DESCEND_SILO,,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,1,,,a&,a&,a&,a&,a&
10,boss1_silo_end,a&CP_RAID1_BOSS1/OBJ_TRANSITION,,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,1,,,a&,a&,a&,a&,a&
98,hard_mode,a&COOP_GAME_PLAY/HARDMODE,,,primary,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,,,,a&,a&,a&,a&,a&
99,hard_mode_revives,a&COOP_GAME_PLAY/HARDMODE_REVIVES_LEFT,,,primary,,,,,,,,,,,,,,,,,,,,,,,a&CP_RAID1_BOSS1/OBJ_HEADER,,,,a&,a&,a&,a&,a&
