string,string,string,string,string,string,string,string
sealion_apartments,complex,4,6,50,1,1,0
sealion_apartments,greenhouse,4,8,50,2,1,0
sealion_apartments,repair,3,5,50,1,1,0
sealion_apartments,orphan,0,2,50,1,1,0
sealion_beachclub,beachfront,2,4,50,1,1,0
sealion_beachclub,market,2,4,50,1,1,0
sealion_beachclub,townhall,4,9,50,2,1,0
sealion_beachclub,waterfront,6,10,50,1,1,0
sealion_beachclub,orphan,0,2,50,1,1,0
sealion_castle,moat,2,15,50,3,1,0
sealion_castle,mountain,2,4,50,2,1,0
sealion_castle,samsite,2,4,50,2,1,0
sealion_castle,tieredwalls,2,4,50,2,1,0
sealion_castle,zengarden,2,8,50,2,1,0
sealion_castle,orphan,0,4,50,1,1,0
sealion_coastalruins,orphan,0,4,50,1,1,0
sealion_port,boatdock,2,4,50,1,1,2
sealion_port,fueldepot,4,6,50,2,1,2
sealion_port,harbor,2,4,50,1,1,2
sealion_port,management,3,5,50,2,1,2
sealion_port,orphan,2,4,50,1,1,0
sealion_culdesac,ruins,2,4,50,1,1,0
sealion_culdesac,orphan,0,2,50,1,1,0
sealion_powerplant,orphan,4,8,50,1,1,0
sealion_residential,gasstation,2,4,50,1,1,0
sealion_residential,northcomplex,3,5,50,1,1,0
sealion_residential,southcomplex,3,5,50,1,1,0
sealion_residential,orphan,0,2,50,1,1,0
sealion_shipwreck,orphan,0,6,50,1,1,0
sealion_towncenter,clinic,2,4,50,2,1,0
sealion_towncenter,ferry,2,4,50,1,1,0
sealion_towncenter,park,2,4,50,1,1,0
sealion_towncenter,spa,2,4,50,1,1,0
sealion_towncenter,orphan,0,2,50,1,1,0
sealion_watertreatment,orphan,3,5,50,2,1,0
sealion_waterways,bunker,2,4,50,2,1,0
sealion_waterways,connectionhub,2,4,50,2,1,0
sealion_waterways,portentrance,2,4,50,2,1,0
sealion_waterways,submarine,2,4,50,3,1,0
sealion_waterways,townentrance,2,4,50,2,1,0
sealion_waterways,watertreatmententrance,2,4,50,2,1,0
sealion_waterways,orphan,0,2,50,1,1,0
