string,localized_a,int
dm,a&PRESENCE/DM,1
war,a&PRESENCE/WAR,1
sd,a&PRESENCE/SD,1
dom,a&PRESENCE/DOM,1
koth,a&PRESENCE/KOTH,1
ctf,a&PRESENCE/CTF,1
dd,a&PRESENCE/DD,1
conf,a&PRESENCE/CONF,1
tdef,a&PRESENCE/TDEF,1
siege,a&PRESENCE/SIEGE,1
grnd,a&PRESENCE/GRND,1
gun,a&PRESENCE/GUN,1
infect,a&PRESENCE/INFECT,1
sr,a&PRESENCE/SR,1
grind,a&PRESENCE/GRIND,1
front,a&PRESENCE/BALL,1
ball,a&PRESENCE/FRONT,1
mp_zomb,a&PRESENCE/MP_ZOMBIES,1
zombie,a&PRESENCE/CP_ZOMBIES,6
arena,a&PRESENCE/ARENA,1
hq,a&PRESENCE/HEADQUARTERS,1
cyber,a&PRESENCE/CYBERATTACK,1
arm,a&PRESENCE/GROUNDWAR,5
trial,a&PRESENCE/TRIAL,1
cp_survival,a&PRESENCE/TAC_OPS,6
cp_specops,a&PRESENCE/SPEC_OPS,6
cp_wave_sv,a&PRESENCE/SURVIVAL,6
rugby,a&PRESENCE/RUGBY,1
cranked,a&PRESENCE/CRANKED,1
br,a&PRESENCE/BR,2
raid,a&,6
gwtdm,a&PRESENCE/GWTDM,5
ko,a&PRESENCE/KO,1
rescue,a&PRESENCE/RESCUE,1
benchmark,a&PRESENCE/BENCHMARK,1
tdm,a&PRESENCE/TDM,1
conf_tdm,a&PRESENCE/CONF_TDM,1
control,a&PRESENCE/CONTROL,1
missions,a&PRESENCE/MISSIONS,6
ballmode,a&PRESENCE/BALLMODE,2
dmz,a&PRESENCE/DMZ,4
bounty,a&PRESENCE/BOUNTY,1
conflict,a&PRESENCE/CONFLICT,5
aon,a&PRESENCE/AON,1
oic,a&PRESENCE/OIC,1
