string,string,string,string,string,string,string
a0,b1,c2,,,,
1,zombie_death,player,,,,
2,wave_complete,wave_num wave_duration last_stand_number times_in_afterlife,,,,
3,dropped_to_last_stand,player,,,,
4,magic_box_used,wave_num,,,,
5,entering_afterlife_arcade,player wave_num soul_power self_revives_left,,,,
6,exiting_afterlife_arcade,player wave_num reason time_spent_in_afterlife,,,,
7,turning_on_the_power,location_of_power wave_num,,,,
8,opening_the_doors,player door_location cost_of_door wave_num,,,,
9,challenge_activated,challenge_name wave_num,,,,
10,challenge_completed,challenge_name wave_num challenge_time,,,,
11,atm_used,wave_num player,,,,
12,portal_used,wave_num portal_location,,,,
13,souvenir_coin_dropped,wave_num crafted_item_type,,,,
14,purchasing_weapon,player new_weapon old_weapon wave_num weapon_purchase_location waves_with_weapon weapon_kills weapon_downs,,,,
15,lost_and_found,times_items_picked times_items_timed_out times_lostandfound_used,,,,
16,faf_card_used,card_name wave_num player,,,,
17,pack_a_punch_used,wave_num upgraded_weapon times_weapon_upgraded,,,,
18,souvenir_coin_used,wave_num souvenir_coin_type,,,,
19,crafted_item_placed,player wave_num crafted_item_type item_kills time_item_lasted,,,,
20,interaction_status,interaction_name status_flag,,,,
21,perk_machine_used,wave_num perk_name,,,,
22,perk_returned,wave_num returned_perk,,,,
23,finished_mini_game,player wave_num minigame_name afterlife_status number_of_tickets_earned number_of_times_per_wave,,,,
24,pillage_event,player pillage_bag_type item_picked item_ignored transaction_id,,,,
25,faf_card_refill,wave_num player,,,,
26,item_purchase_with_tickets,wave_num item_name transaction_id,,,,
27,neil_head,wave_num_head_pickup wave_num_head_placed,,,,
28,neil_battery,wave_num_battery_pickup wave_num_battery_placed,,,,
29,neil_floppy,wave_num_floppy_pickup wave_num_floppy_placed,,,,
30,balloons_popped,wave_num_balloons_popped,,,,
31,shot_icemonster,wave_num_shooting_icemonster,,,,
32,ghost_spelled,wave_num_ghost_spelled,,,,
33,1984_kills,wave_num_1984_kills,,,,
34,beating_arcade_games,wave_num_beating_arcade_games,,,,
35,brute_hits_cabinet,wave_num_brute_hits_cabinet,,,,
36,activate_enter_ghostskulls_game,wave_num_activate_enter_ghostskulls_game,,,,
37,player_exits_ghostskulls_games,wave_num_ghost_skulls game_complete_status time_spent_in_area,,,,
38,xp_earned,total_xp_value player wave_num,,,,
39,challenge_failed,challenge_name wave_num progress_percentage failure_count,,,,
40,frequency_device_collected,wave_num_frequency_device_collected device_location part_name,,,,
41,frequency_device_crafted_dj,wave_num_frequency_device_crafted craft_location,,,,
42,speaker_defence_sequence_ends,wave_num_defence_sequence_end defence_end_location defence_sequence_duration remaining_health_speaker,,,,
43,tone_sequence_activated,wave_num_tone_sequence_activated,,,,
44,suicide_bomber_sequence_activated,wave_num_suicide_bomber_sequence_activated,,,,
45,grey_sequence_activated,wave_num_grey_sequence_activated,,,,
46,ufo_destroyed,wave_num_UFO_destroyed,,,,
47,item_replaced,item_replaced_name transaction_id,,,,
48,revived_another_player,player,,,,
49,currency_earned,player,,,,
50,shots_on_target,player shots_hit_counter,,,,
51,purchasing_for_a_team_door,player door_location cost_of_door wave_num,,,,
52,hidden_song_one_discovered,wave_num_hidden_song_one,,,,
53,hidden_song_two_discovered,wave_num_hidden_song_two,,,,
54,crafted_wor_facemelter,wave_num_facemelter,,,,
55,crafted_wor_headcutter,wave_num_headcutter,,,,
56,crafted_wor_dischord,wave_num_dischord,,,,
57,crafted_wor_shredder,wave_num_shredder,,,,
58,pink_ark_obtained,wave_num_pink_ark,,,,
101,wave_num,%i,,,,
102,player,%i,,y,,y
103,weapon,%s,,y,,
104,agent_type,%s,,,,
105,location,%s,,,,
106,zombie_death,,int,,short,
107,wave_duration,%i,,,,
108,last_stand_number,%i,,,,
109,times_in_afterlife,%i,,,,
110,wave_complete,,int,,,
111,remaining_ammo,%i,,,,
112,total_kills,%i,,,,
113,dropped_to_last_stand,,int ,,short,
114,magic_box_used,,int,,,
115,soul_power,%i,,,,
116,self_revives_left,%i,,,,
117,entering_afterlife_arcade,,int,,short,
118,reason,%i,,,,
119,time_spent_in_afterlife,%i,,,,
120,exiting_afterlife_arcade,,int,,,
