string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
sealion_apartments,complex,5,10,12,1,1,0,ru,,1,,,,,,,5
sealion_apartments,greenhouse,4,8,12,2,1,0,ru,,,,,,,,,5
sealion_apartments,repair,3,5,7,1,1,0,ru,,,,,,,,,5
sealion_apartments,orphan,0,2,4,1,1,0,ru,,,,,,,,,5
sealion_beachclub,beachfront,2,4,6,1,1,0,ru,,1,,,,,,,
sealion_beachclub,market,2,4,6,1,1,0,ru,,,,,,,,,
sealion_beachclub,townhall,4,9,13,2,1,0,ru,,,,,,,,,
sealion_beachclub,waterfront,6,10,12,1,1,0,ru,,,,,,,,,
sealion_beachclub,orphan,0,2,4,1,1,0,ru,,,,,,,,,
sealion_castle,moat,2,15,25,3,1,0,ru,,3,,,,,,,
sealion_castle,mountain,2,4,6,2,1,0,ru,,,,,,,,,
sealion_castle,samsite,2,4,6,2,1,0,ru,,,,,,,,,
sealion_castle,tieredwalls,2,4,6,2,1,0,ru,,,,,,,,,
sealion_castle,zengarden,2,8,12,2,1,0,ru,,,,,,,,,
sealion_castle,orphan,0,4,6,1,1,0,ru,,,,,,,,,
sealion_coastalruins,orphan,0,4,6,1,1,0,ru,,1,,,,,,,
sealion_port,boatdock,10,11,12,2,1,2,ru,,3,,,,,,,
sealion_port,fueldepot,12,13,14,2,1,2,ru,,,,,,,,,
sealion_port,harbor,10,11,12,3,1,2,ru,,,,,,,,,
sealion_port,management,8,9,11,2,1,2,ru,,,,,,,,,
sealion_port,cargoship,10,12,14,3,1,2,ru,,,,,,,,,
sealion_port,orphan,2,4,5,1,1,0,ru,,,,,,,,,
sealion_culdesac,ruins,2,4,6,1,1,0,ru,,1,,,,,,,
sealion_culdesac,orphan,0,2,4,1,1,0,ru,,,,,,,,,
sealion_powerplant,orphan,4,8,15,1,1,0,ru,,1,,,,,,,
sealion_residential,gasstation,2,4,6,1,1,0,ru,,2,,,,,,,
sealion_residential,northcomplex,3,5,7,1,1,0,ru,,,,,,,,,
sealion_residential,southcomplex,3,5,7,1,1,0,ru,,,,,,,,,
sealion_residential,orphan,0,2,4,1,1,0,ru,,,,,,,,,
sealion_shipwreck,orphan,0,6,8,1,1,0,ru,,1,,,,,,,
sealion_towncenter,clinic,2,4,6,2,1,0,ru,,2,,,,,,,
sealion_towncenter,ferry,2,4,6,1,1,0,ru,,,,,,,,,
sealion_towncenter,park,2,4,6,1,1,0,ru,,,,,,,,,
sealion_towncenter,spa,2,4,6,1,1,0,ru,,,,,,,,,
sealion_towncenter,orphan,0,2,4,1,1,0,ru,,,,,,,,,
sealion_watertreatment,orphan,3,5,7,2,1,0,ru,,1,,,,,,,
sealion_waterways,bunker,2,4,6,2,1,0,ru,,2,,,,,,,
sealion_waterways,connectionhub,2,4,6,2,1,0,ru,,,,,,,,,
sealion_waterways,portentrance,2,4,6,2,1,0,ru,,,,,,,,,
sealion_waterways,submarine,2,4,6,3,1,0,ru,,,,,,,,,
sealion_waterways,townentrance,2,4,6,2,1,0,ru,,,,,,,,,
sealion_waterways,watertreatmententrance,2,4,6,2,1,0,ru,,,,,,,,,
sealion_waterways,orphan,0,2,4,1,1,0,ru,,,,,,,,,
