string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string
0,delta_castle,a&MP_DELTA/CALLOUT_CASTLE_TAC,area,,1,0.32,0.32,2000,,,#(-8731,8945, 379)
1,delta_cityhall,a&MP_DELTA/CALLOUT_CITYHALL_TAC,area,,1,0.67,0.375,2000,,,#(-21591,23953, -152)
2,delta_cemetary,a&MP_DELTA/CALLOUT_CEMETERY_TAC,area,,1,0.375,0.473,2000,,,#(-48189,12062, 640)
3,delta_fleamarket,a&MP_DELTA/CALLOUT_MARKET_TAC,area,,1,0.52,0.525,2000,,,#(-25911,-1467, 1940)
4,delta_shoppingcenter,a&MP_DELTA/CALLOUT_SHOPPING_TAC,area,,1,0.61,0.47,2000,,,#(-1873,-13937, 4859)
5,delta_policestation,a&MP_DELTA/CALLOUT_POLICESTATION_TAC,area,,1,0.61,0.576,2000,,,#(6734  51714),,
6,delta_station,a&MP_DELTA/CALLOUT_STATION_TAC,area,,1,0.77,0.48,2000,,,#(-11647,39132, 627)
7,delta_firestation,a&MP_DELTA/CALLOUT_FIREDEPT_TAC,area,,1,0.25,0.64,2000,,,#(13570,23012, 330)
8,delta_zoo,a&MP_DELTA/CALLOUT_ZOO_TAC,area,,1,0.36,0.71,2000,,,#(16029,168, 327)
9,delta_floatinghouses,a&MP_DELTA/CALLOUT_FLOATINGHOUSES_TAC,area,,1,0.23,0.76,2000,,,#(17854 -13830 2929),,
10,delta_stadium,a&MP_DELTA/CALLOUT_STADIUM_TAC,area,,1,0.53,0.71,2000,,,#(10571,-25792, 1168)
11,delta_museum,a&MP_DELTA/CALLOUT_MUSEUMS_TAC,area,,1,0.68,0.63,2000,,,#(18569,-54010, 1082)
12,delta_library,a&MP_DELTA/CALLOUT_LIBRARY_TAC,area,,1,0.51,0.32,2000,,,#(18569,-54010, 1082)
13,delta_terminal,a&MP_DELTA/CALLOUT_TERMINAL_TAC,area,,1,0.55,0.85,2000,,,#(10571,-25792, 1168)
14,delta_nemo,a&MP_DELTA/CALLOUT_EXHIBIT_TAC,area,,1,0.79,0.67,2000,,,#(18569,-54010, 1082)
