string,string,localized_a,string,string
0,Arrival Plaza,a&MP_MUSEUM/ARRIVAL_PLAZA,area,
1,Entrance Hall,a&MP_MUSEUM/ENTRANCE_HALL,area,
2,Courtyard,a&MP_MUSEUM/COURTYARD,area,
3,Modern Art,a&MP_MUSEUM/MODERN_ART,area,
4,Gift Shop,a&MP_MUSEUM/GIFT_SHOP,area,
5,Skybridge,a&MP_MUSEUM/SKYBRIDGE,area,
6,Sculpture Garden,a&MP_MUSEUM/SCULPTURE_GARDEN,area,
7,Photography,a&MP_MUSEUM/PHOTOGRAPHY,area,
8,Pool,a&MP_MUSEUM/POOL,area,
9,Overlook,a&MP_MUSEUM/OVERLOOK,area,
10,Decorative Art,a&MP_MUSEUM/DECORATIVE_ART,area,
11,Balcony,a&MP_MUSEUM/BALCONY,area,
12,Garden Circle,a&MP_MUSEUM/GARDEN_CIRCLE,area,
13,Garden,a&MP_MUSEUM/GARDEN,area,
14,Cafe,a&MP_MUSEUM/CAFE,area,
15,Medieval Art,a&MP_MUSEUM/MEDIEVAL_ART,area,
16,Restaurant,a&MP_MUSEUM/RESTAURANT,area,
