string,string,string,string
0,main_entrance,MP_SWAP_MEET/CALLOUT_MAIN_ENTRANCE,area
1,market_center,MP_SWAP_MEET/CALLOUT_MARKET_CENTER,area
2,parking,MP_SWAP_MEET/CALLOUT_PARKING,area
3,trash_truck,MP_SWAP_MEET/CALLOUT_TRASH_TRUCK,area
4,cantina,MP_SWAP_MEET/CALLOUT_CANTINA,area
5,parking_alley,MP_SWAP_MEET/CALLOUT_PARKING_ALLEY,area
6,barber_shop,MP_SWAP_MEET/CALLOUT_BARBER_SHOP,area
7,red_tarps,MP_SWAP_MEET/CALLOUT_RED_TARPS,area
8,warehouse,MP_SWAP_MEET/CALLOUT_WAREHOUSE,area
9,tunnel,MP_SWAP_MEET/CALLOUT_TUNNEL,area
10,main_street,MP_SWAP_MEET/CALLOUT_MAIN_STREET,area
11,elephant_room,MP_SWAP_MEET/CALLOUT_ELEPHANT_ROOM,area
12,old_church,MP_SWAP_MEET/CALLOUT_OLD_CHURCH,area
13,forklift,MP_SWAP_MEET/CALLOUT_FORKLIFT,area
14,patio,MP_SWAP_MEET/CALLOUT_PATIO,area
15,silos,MP_SWAP_MEET/CALLOUT_SILOS,area
16,cantina_alley,MP_SWAP_MEET/CALLOUT_CANTINA_ALLEY,area
