string,string,string,string
0,backdeck,MP_FLOATINGHOUSES/CALLOUT_BACKDECK,area
1,backhouse,MP_FLOATINGHOUSES/CALLOUT_BACKHOUSE,area
2,bar,MP_FLOATINGHOUSES/CALLOUT_BAR,area
3,blue,MP_FLOATINGHOUSES/CALLOUT_BLUE,area
4,boathouse,MP_FLOATINGHOUSES/CALLOUT_BOATHOUSE,area
5,boatpark,MP_FLOATINGHOUSES/CALLOUT_BOATPARK,area
6,boxes,MP_FLOATINGHOUSES/CALLOUT_BOXES,area
7,epool,MP_FLOATINGHOUSES/CALLOUT_EPOOL,area
8,food,MP_FLOATINGHOUSES/CALLOUT_FOOD,area
9,kitchen,MP_FLOATINGHOUSES/CALLOUT_KITCHEN,area
10,lowdeck,MP_FLOATINGHOUSES/CALLOUT_LOWDECK,area
11,mural,MP_FLOATINGHOUSES/CALLOUT_MURAL,area
12,park,MP_FLOATINGHOUSES/CALLOUT_PARK,area
13,planters,MP_FLOATINGHOUSES/CALLOUT_PLANTERS,area
14,plateau,MP_FLOATINGHOUSES/CALLOUT_PLATEAU,area
15,red,MP_FLOATINGHOUSES/CALLOUT_RED,area
16,tdeck,MP_FLOATINGHOUSES/CALLOUT_TDECK,area
17,updeck,MP_FLOATINGHOUSES/CALLOUT_UPDECK,area
18,wpool,MP_FLOATINGHOUSES/CALLOUT_WPOOL,area
19,yellow,MP_FLOATINGHOUSES/CALLOUT_YELLOW,area
