string,string,string,string,string,string,string,string,string,string
time_50_2,elevator_ideal,patrol,lv3_patrol_1,,3,0,1,,guard_smg
time_50_2,elevator_ideal,patrol,lv3_patrol_2,,3,0,1,,guard_shotgun
time_30_3,elevator_ideal,combat_rush,reinforcement_lv1,lv1_stealthVolume,2,0,1,bio_lab_reinforcement_coming,guard_ar|guard_ar|guard_smg|guard_lmg
time_30_3,elevator_ideal,combat_rush,reinforcement_lv2,lv2_stealthVolume,2,0,1,bio_lab_reinforcement_coming,guard_ar|guard_ar|guard_smg|guard_shotgun
time_30_3,elevator_ideal,combat_rush,reinforcement_lv3,lv3_stealthVolume,2,0,1,bio_lab_reinforcement_coming,guard_ar|guard_ar|guard_smg|guard_smg
time_90_3,elevator_ideal,combat_rush,random_player,,2,0,1,bio_lab_reinforcement_coming,guard_ar|guard_ar|guard_smg|guard_lmg
time_90_3,elevator_ideal,combat_rush,random_player,,2,0,2,bio_lab_reinforcement_coming,guard_smg|guard_ar
time_90_3,elevator_ideal,combat_rush,random_player,,2,0,3,bio_lab_reinforcement_coming,guard_ar|guard_ar|guard_smg|guard_smg
time_150_3,elevator_ideal,combat_rush,reinforcement_stairwell_a,stairwell_stealthVolume_a,2,0,1,bio_lab_reinforcement_coming,guard_smg|guard_ar
time_150_3,elevator_ideal,combat_rush,reinforcement_stairwell_b,stairwell_stealthVolume_b,2,0,1,bio_lab_reinforcement_coming,guard_smg|guard_lmg
time_150_3,elevator_ideal,combat_rush,reinforcement_stairwell_c,stairwell_stealthVolume_c,2,0,1,bio_lab_reinforcement_coming,guard_smg|guard_shotgun
time_150_3,elevator_ideal,combat_rush,reinforcement_stairwell_d,stairwell_stealthVolume_d,2,0,1,bio_lab_reinforcement_coming,guard_ar|guard_lmg
time_150_3,elevator_ideal,combat_rush,reinforcement_lv1,lv1_stealthVolume,2,0,1,bio_lab_reinforcement_coming,guard_ar|guard_lmg|guard_lmg|guard_lmg
time_150_3,elevator_ideal,combat_rush,reinforcement_lv2,lv2_stealthVolume,2,0,1,bio_lab_reinforcement_coming,guard_ar|guard_lmg|guard_lmg|guard_lmg
time_150_3,elevator_ideal,combat_rush,reinforcement_lv3,lv3_stealthVolume,2,0,1,bio_lab_reinforcement_coming,guard_ar|guard_ar|guard_smg|guard_smg
time_240_3,elevator_ideal,combat_rush,random_player,,2,0,1,bio_lab_reinforcement_coming,guard_shotgun|guard_ar|guard_shotgun|guard_rpg
time_240_3,elevator_ideal,combat_rush,random_player,,2,0,2,bio_lab_reinforcement_coming,guard_smg|guard_shotgun
time_240_3,elevator_ideal,combat_rush,random_player,,2,0,3,bio_lab_reinforcement_coming,guard_smg|guard_ar|guard_smg|guard_rpg
time_30_4,elevator_ideal,combat_rush,reinforcement_lv1,lv1_stealthVolume,3,0,1,bio_lab_reinforcement_coming,guard_ar|guard_smg|guard_lmg
time_30_4,elevator_ideal,combat_rush,reinforcement_lv2,lv2_stealthVolume,3,0,1,bio_lab_reinforcement_coming,guard_ar|guard_smg|guard_shotgun
time_30_4,elevator_ideal,combat_rush,reinforcement_lv3,lv3_stealthVolume,3,0,1,bio_lab_reinforcement_coming,guard_ar|guard_smg|guard_smg
time_90_4,elevator_ideal,combat_rush,random_player,,3,0,1,bio_lab_reinforcement_coming,guard_ar|guard_lmg|guard_lmg|guard_lmg
time_90_4,elevator_ideal,combat_rush,random_player,,3,0,2,bio_lab_reinforcement_coming,guard_ar|guard_lmg
time_90_4,elevator_ideal,combat_rush,random_player,,3,0,3,bio_lab_reinforcement_coming,guard_ar|guard_lmg|guard_lmg|guard_lmg
time_150_4,elevator_ideal,combat_rush,reinforcement_stairwell_a,stairwell_stealthVolume_a,2,0,1,bio_lab_reinforcement_coming,guard_smg|guard_ar
time_150_4,elevator_ideal,combat_rush,reinforcement_stairwell_b,stairwell_stealthVolume_b,2,0,1,bio_lab_reinforcement_coming,guard_smg|guard_lmg
time_150_4,elevator_ideal,combat_rush,reinforcement_stairwell_c,stairwell_stealthVolume_c,2,0,1,bio_lab_reinforcement_coming,guard_ar|guard_lmg
time_150_4,elevator_ideal,combat_rush,reinforcement_stairwell_d,stairwell_stealthVolume_d,2,0,1,bio_lab_reinforcement_coming,guard_smg|guard_ar
time_150_4,elevator_ideal,combat_rush,reinforcement_lv1,lv1_stealthVolume,3,0,1,bio_lab_reinforcement_coming,guard_smg|guard_lmg
time_150_4,elevator_ideal,combat_rush,reinforcement_lv2,lv2_stealthVolume,3,0,1,bio_lab_reinforcement_coming,guard_smg|guard_shotgun
time_150_4,elevator_ideal,combat_rush,reinforcement_lv3,lv3_stealthVolume,3,0,1,bio_lab_reinforcement_coming,guard_ar|guard_lmg
time_240_4,elevator_ideal,combat_rush,random_player,,3,0,1,bio_lab_reinforcement_coming,guard_shotgun|guard_shotgun|guard_rpg
time_240_4,elevator_ideal,combat_rush,random_player,,3,0,2,bio_lab_reinforcement_coming,guard_riotshield|guard_smg
time_240_4,elevator_ideal,combat_rush,random_player,,3,0,3,bio_lab_reinforcement_coming,guard_smg|guard_smg|guard_rpg
time_295_4,elevator_ideal,combat_rush,reinforcement_lv2_center_garden_1,lv2_stealthVolume_center_garden,2,0,1,bio_lab_reinforcement_coming,guard_smg|guard_shotgun
time_295_4,elevator_ideal,combat_rush,reinforcement_lv2_center_garden_2,lv2_stealthVolume_center_garden,2,0,1,bio_lab_reinforcement_coming,guard_smg|guard_shotgun
test_custom_notify,nearest,wander,,,3,0,,,guard_riotshield
test_custom_notify,elevator_random,wander,,,3,0,,,guard_jugg
test_custom_notify,random,wander,,,3,0,2,,guard_jugg|guard_riotshield
garage_reinforcement,elevator_ideal,combat_rush,event_target,,3,0,,bio_lab_elevator_exfil_start,guard_ar|guard_smg|guard_lmg|guard_rpg
