string,string,string,string,string,string,string,string
clip64x64x64,,-2952,1328,629,0,75,0
clip128x128x8,,-4368,-51,694,0,0,90
clip512x512x8,,8006,15770,1680,90,289,-16
clip64x64x64,,8641,13459,2063,0,0,0
clip64x64x64,,8594,13360,2063,0,0,0
clip64x64x64,,8286,14182,2063,0,0,0
clip64x64x64,,7181,15115,1985,0,0,0
clip64x64x64,,8557,13517,2063,0,0,0
clip64x64x64,,8381,13923,2063,0,0,0
clip256x256x8,,-1559,10490,636,0,0,-6
clip128x128x8,,-2000,15064,1360,0,0,90
player128x128x256,,-2192,7515,708,0,0,0
player128x128x256,,-2342,7508,708,0,0,0
