string,string,localized_a,string,string
0,hotel,a&MP_DOGTOWN_GW/CALLOUT_HOTEL,area,
1,showdown,a&MP_DOGTOWN_GW/CALLOUT_SHOWDOWN,area,
2,tannery,a&MP_DOGTOWN_GW/CALLOUT_TANNERY,area,
3,market,a&MP_DOGTOWN_GW/CALLOUT_MARKET,area,
4,main_gate,a&MP_DOGTOWN_GW/CALLOUT_MAIN_GATE,area,
5,farmland,a&MP_DOGTOWN_GW/CALLOUT_FARMLAND,area,
6,mountain_gate,a&MP_DOGTOWN_GW/CALLOUT_MOUNTAIN_GATE,area,
7,backlot,a&MP_DOGTOWN_GW/CALLOUT_BACKLOT,area,
8,retail_row,a&MP_DOGTOWN_GW/CALLOUT_RETAIL_ROW,area,
9,old_gardens,a&MP_DOGTOWN_GW/CALLOUT_OLD_GARDENS,area,
10,the_yards,a&MP_DOGTOWN_GW/CALLOUT_THE_YARDS,area,
11,old_entrance,a&MP_DOGTOWN_GW/CALLOUT_OLD_ENTRANCE,area,
12,check_point,a&MP_DOGTOWN_GW/CALLOUT_CHECK_POINT,area,
13,gas_station,a&MP_DOGTOWN_GW/CALLOUT_GAS_STATION,area,
