string,string,string,string,string
loot_key_biobunker_water_a_worn_node,loot_key_biobunker_water_a_worn,1,1,key
loot_key_biobunker_water_b_worn_node,loot_key_biobunker_water_b_worn,1,1,key
work_shop_key_node,loot_key_biobunker_workshop_worn,1,1,key
loot_key_biobunker_hub_a_worn_node,loot_key_biobunker_hub_a_worn,2,1,key
brloot_valuable_jumper_cables_node,brloot_valuable_jumper_cables,1,1,puzzle item
brloot_valuable_car_battery_node,brloot_valuable_car_battery,1,1,puzzle item
biobunker_radiation_geiger_counter_loot_node,brloot_offhand_geigercounter,1,1,puzzle item
brloot_equip_gasmask_durable_node1,brloot_equip_gasmask_durable,1,1,item
brloot_equip_gasmask_durable_node2,brloot_equip_gasmask_durable,1,1,item
weapon_pieces_dark,brloot_collectable_weapon_part_bb_1,1,1,WeaponPieces
weapon_pieces_radiation,brloot_collectable_weapon_part_bb_2,1,1,WeaponPieces
weapon_pieces_flooded,brloot_collectable_weapon_part_bb_3,1,1,WeaponPieces
weapon_pieces_thermal,brloot_collectable_weapon_part_bb_4,1,1,WeaponPieces
weapon_pieces_laptop,brloot_collectable_weapon_part_bb_5,1,1,WeaponPieces
brloot_biobunker_map,brloot_biobunker_map,1,1,item
biobunker_keypad_room_intel,biobunker_keypad_room_intel,1,1,item
brloot_valuable_bunkergas,brloot_valuable_bunkergas,1,1,item
