string,string,string,string,string,string,string,string,string,string,string
biobunker_radiation,orphan,5,10,20,2,1,0,,,2
biobunker_radiation,warehouse,5,10,20,2,1,0,,,
biobunker_radiation,north,5,10,20,2,1,0,,,
biobunker_radiation,west,5,10,20,3,1,0,,,
biobunker_radiation,rad2boss,5,10,20,3,1,0,,,
biobunker_flooded,orphan,5,10,20,3,1,0,ru,,2
biobunker_flooded,main,5,10,20,3,1,0,ru,,
biobunker_boss,orphan,5,10,20,3,1,0,,,3
biobunker_boss,arenaLV1,7,10,10,3,1,0,,,
biobunker_boss,arenaLV2,7,10,10,3,1,0,,,
biobunker_boss,part1,5,10,20,3,1,0,,,
biobunker_boss,part2,5,10,20,3,1,0,,,
biobunker_boss,part3,5,10,20,3,1,0,,,
biobunker_shop,orphan,5,10,20,2,1,0,,,1
biobunker_shop,shop,5,10,20,2,1,0,,,
biobunker_dark,orphan,5,10,20,3,1,0,,,2
biobunker_dark,middle,5,10,20,3,1,0,,,
biobunker_office,orphan,5,10,20,3,1,0,,,1
biobunker_office,brainwash,4,6,10,3,1,1,,,
biobunker_office,livingroom,5,10,20,3,1,0,,,
biobunker_office,office,5,10,20,3,1,0,,,
biobunker_office,exit,5,10,20,3,1,0,,,
biobunker_controlroom,orphan,5,10,20,3,1,0,ru,,1
biobunker_controlroom,hotpot,5,10,20,3,1,0,ru,,
biobunker_controlroom,monitor,5,10,20,3,1,0,ru,,
biobunker_datacenter,orphan,5,10,20,3,1,0,,,3
biobunker_datacenter,left,5,10,20,3,1,0,,,
biobunker_datacenter,top,5,30,30,3,1,0,,,
biobunker_datacenter,right,5,30,30,3,1,0,,,
