string,string
1,-17246,24206,-392
1,-28004,22734,-392
1,-30157,15328,-258
1,-21267,8509,-165
1,-3926,8259,-265
1,-3179,21035,-316
center_1,-16587,17186,-266
2,36348,-13293,-419
2,22822,-13075,-162
2,24056,-25973,-318
2,39608,-31664,-445
2,51205,-27465,570
2,50450,-3799,-227
center_2,37917,-20910,-507
3,31385,43303,732
3,23688,31662,943
3,19892,16373,472
3,29926,9328,-393
3,46373,12074,52
3,45916,28318,-313
center_3,34098,22330,671
4,-21131,-9343,-191
4,-32169,-12696,-255
4,-27401,-25651,-192
4,-16971,-31857,303
4,-1425,-26309,-138
4,3867,-15264,-230
4,-1147,-5519,-331
center_4,-12342,-15560,-303
5,-4115,-1920,718
5,-1801,-8182,208
5,2231,-5122,749
5,2509,979,768
5,-491,8689,866
5,-2677,2067,1010
center_5,-307,653,1907
6,-2940,54971,998
6,-17873,52112,2742
6,-16655,39745,-582
6,-1219,33846,648
6,11779,40216,1914
6,9068,49827,1513
center_6,-1786,44803,1820
7,-17246,24206,-392
7,-28004,22734,-392
7,-30157,15328,-258
7,-21267,8509,-165
7,-3926,8259,-265
7,-3179,21035,-316
7,-16587,17186,-266
7,36348,-13293,-419
7,22822,-13075,-162
7,24056,-25973,-318
7,39608,-31664,-445
7,51205,-27465,570
7,50450,-3799,-227
7,37917,-20910,-507
7,31385,43303,732
7,23688,31662,943
7,19892,16373,472
7,29926,9328,-393
7,46373,12074,52
7,45916,28318,-313
7,34098,22330,671
7,-21131,-9343,-191
7,-32169,-12696,-255
7,-27401,-25651,-192
7,-16971,-31857,303
7,-1425,-26309,-138
7,3867,-15264,-230
7,-1147,-5519,-331
7,-12342,-15560,-303
7,-2940,54971,998
7,-17873,52112,2742
7,-16655,39745,-582
7,-1219,33846,648
7,11779,40216,1914
7,9068,49827,1513
7,-1786,44803,1820
