string,string,string,string,string,string,string,string,string
player64x64x64,,-4552,-12792,456,0,0,0,IW9-685408 - Player Clip to fix endless free fall near port
player64x64x64,,-4920,-9880,624,0,315,0,IW9-691383 - Player Clip to fix rock missing collision in port
player32x32x32,,-5176,-12124,640,0,65,0,IW9-695117 - Player Clip to fix spot between shelves where player can get stuck
player32x32x32,,-5176,-12124,668,0,65,0,IW9-695117 - Player Clip to fix spot between shelves where player can get stuck
player32x32x32,,-1768,-13392,920,0,355,0,IW9-691521 - Player Clip to fix a sticky spot next to a bulldozer in ruins
player64x64x128,,-2384,-6646,1388,360,	     45,	       90,	    IW9-677987 - Castle roof stuck spot fix
player64x64x64,,-606,-4352,1276,0,	     44,	        0,	    IW9-692208 - Player Clip blocking stuck spot at castle
clip128x128x128,,8446,-4128,184,7.9,321.986,	   11.746,	    IW9-681821 - Rock clipped off so player cant exploit getting out of boat
clip128x128x128,,8226,-4074,198,16.917,	328.143,	  12.7284,	    IW9-681821 - Rock clipped off so player cant exploit getting out of boat
clip128x128x128,,8540,-6976,206,20,	309.539,	     25.3,	    IW9-681821 - Rock clipped off so player cant exploit getting out of boat
clip128x128x128,,8594,-6990,198,357.76,	 333.36,	    31.84,	    IW9-681821 - Rock clipped off so player cant exploit getting out of boat
player32x32x128,,-10502,2260,714,304.067,	   9.18,	    -1.48,	    IW9-688842 - whale does not have player clip
player32x32x128,,-10520,2276,682,358,5.27,	      1.9,	    IW9-688842 - whale does not have player clip
player32x32x128,,-10520,2244,682,358.097,	   5.27,	     1.95,	    IW9-688842 - whale does not have player clip
player32x32x128,,-2608,-5960,1776,0,45,	        0,	    IW9-691615 -  roof stuck spot fix
player32x32x128,,-2256,-5608,1776,0,45,	        0,	    IW9-691615 -  roof stuck spot fix
player32x32x128,,-2728,-5136,1776,0,45,	        0,	    IW9-691615 -  roof stuck spot fix
player32x32x128,,-3080,-5488,1776,0,45,	        0,	    IW9-691615 -  roof stuck spot fix
player64x64x64,,-12008,3539,284,355.389,	   1.33,	   -16.95,	    IW9-695267 - Concrete beach thing stuck spot
player32x32x128,,-2007,-4633,1430,0,315,	        0,	    IW9-698709 - stuck spot by shelf
player32x32x128,,672,-8784,1144,3,315,	      -90,	    IW9-690978 - hiding spot under radio cart thing closed
player32x32x128,,648,-8760,1144,3,315,	      -90,	    IW9-690978 - hiding spot under radio cart thing closed
player32x32x128,,632,-8744,1144,3,315,	      -90,	    IW9-690978 - hiding spot under radio cart thing closed
player32x32x128,,-2644,-4952,1432,0,4.99,	        0,	    IW9-681618 - stuck spot behind wood post fixed
clip64x64x64,,-7956,-11608,192,0,320,0,IW9-700872 -  Clip to fix a sticky spot under a pipe in port
clip64x64x64,,-7664,-11168,208,0,320,0,IW9-700872 -  Clip to fix a sticky spot under a pipe in port
player64x64x64,,-7672,-11140,120,0,320,0,IW9-700872 - Player Clip to fix a sticky spot under a pipe in port
player64x64x64,,-8428,-14416,280,6.8,45,-15,IW9-701165 - Player Clip to fix sticky spot on rock by port
player64x64x128,,-5324,140,968,0,10,0,IW9-700726 - Player Clip to fix sticky spot in hotel bathroom
