string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
none,1,,,,,,,,,,,,,,,0
default,2,plunder_small,no_scale,xp_small,no_scale,weapon_xp_small,no_scale,,,,,,,,,0
domination,3,plunder_small,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
assassin,4,plunder_large,no_scale,xp_extra_large,no_scale,weapon_xp_extra_large,no_scale,,,,,,,,,0
assassin_target_killed,5,plunder_large,no_scale,xp_extra_large,no_scale,weapon_xp_extra_large,no_scale,,,,,,,,,0
assassin_target_vanished,6,plunder_medium,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
assassin_averted,7,plunder_small,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
scavenger_1,28,,,,,,,,,,,,,,,0
scavenger_2,29,,,,,,,,,,,,,,,0
scavenger_3,30,plunder_medium,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
vip,31,plunder_extra_large,no_scale,xp_large,no_scale,weapon_xp_large,no_scale,uav,no_scale,,,,,,,0
vip_killer,32,plunder_medium,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
timed_run,33,plunder_small,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
blueprintextract,34,plunder_huge,no_scale,xp_large,no_scale,weapon_xp_large,no_scale,,,,,,,,,0
secretstash,35,plunder_medium,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
safecracker_1,36,plunder_small,no_scale,,,,,,,,,,,,,0
safecracker_2,37,plunder_medium,no_scale,,,,,,,,,,,,,0
safecracker_3,38,plunder_large,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
demolition,39,plunder_medium,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
intel,40,plunder_large,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,fire_sale,no_scale,,,,,,,0
searchseizure,41,plunder_medium,no_scale,xp_medium,no_scale,weapon_xp_medium,no_scale,,,,,,,,,0
