string,string,string
Group_datacenter1,interactable_notebook_bunker_data_center01,50
Group_datacenter1,interactable_notebook_bunker_data_center02,50
Group_radiation1,interactable_notebook_bunker_research04,60
Group_radiation1,interactable_notebook_bunker_research05,40
Group_datacenter2,interactable_notebook_bunker_mad02,40
Group_datacenter2,interactable_notebook_bunker_mad03,60
Group_datacenter3,interactable_notebook_bunker_mad04,60
Group_datacenter3,interactable_notebook_bunker_mad05,40
Group_radiation2,interactable_notebook_bunker_entrance_a01,50
Group_radiation2,interactable_notebook_bunker_entrance_a02,50
Group_flooded1,interactable_note_bunker_entrance_b01,50
Group_flooded1,interactable_note_bunker_entrance_b02,50
Group_Control,interactable_note_bunker_boss01,50
Group_Control,interactable_note_bunker_radiation01,50
Pool_biobunker_datacenter,interactable_notebook_bunker_data_center01,interactable_notebook_bunker_data_center02,interactable_notebook_bunker_handbook01,interactable_notebook_bunker_mad01,interactable_notebook_bunker_mad02,interactable_notebook_bunker_mad03,interactable_notebook_bunker_mad04,interactable_notebook_bunker_mad05,interactable_notebook_bunker_mad06,
Pool_biobunker_office,interactable_notebook_bunker_handbook02,interactable_note_bunker_entrance_c_d,interactable_note_bunker_shop01,
Pool_biobunker_controlroom,interactable_notebook_bunker_handbook03,interactable_note_bunker_entrance_c_d,interactable_note_bunker_boss01,interactable_note_bunker_radiation01,
Pool_biobunker_boss,interactable_notebook_bunker_handbook04,
Pool_biobunker_shop,interactable_notebook_bunker_handbook05,interactable_note_bunker_dark01,
Pool_biobunker_radiation,interactable_notebook_bunker_entrance_a01,interactable_notebook_bunker_entrance_a02,interactable_notebook_bunker_research01,interactable_notebook_bunker_research02,interactable_notebook_bunker_research03,interactable_notebook_bunker_research04,interactable_notebook_bunker_research05,
Pool_biobunker_dark,interactable_note_bunker_dark02,interactable_note_bunker_dark03,interactable_notebook_bunker_data_center01,interactable_notebook_bunker_data_center02,
Pool_biobunker_flooded,interactable_note_bunker_entrance_b01,interactable_note_bunker_entrance_b02,
