string,string,string,string,string,string,string,string,string,string,string,string,string,string
ui_resurgenceRespawnTimer,1,,c,a,0,0,2147483647,,,,,,#31 bits packed: ( 1 force
ui_resurgenceRespawnTimer_solo,1,1,c,a,0,0,2147483647,,,,,,#31 bits packed: ( 1 force
ui_br_alt_mode_inflation_plunder_lost,1,,c,i,0,0,2147483647,,,,,,#31 bits packed: ( 1 force
ui_br_alt_mode_inflation_respawn_state,1,,c,i,0,0,2147483647,,,,,,#31 bits packed: ( 1 force
ui_havoc_show_mod,1,,g,i,-1,-1,99,,,,,,
ui_havoc_score_threshold,1,,g,i,0,0,10,,,,,,
ui_havoc_threshold_progress,1,,g,f,0,0,1,,,,,,
ui_havoc_countdown_time,1,,g,t,0,,,,,,,,
ui_havoc_countdown_progress,1,,g,f,0,0,1,,,,,,
ui_havoc_mod_status_1,1,,g,i,-1,-1,99,,,,,,
ui_havoc_mod_status_2,1,,g,i,-1,-1,99,,,,,,
ui_havoc_mod_status_3,1,,g,i,-1,-1,99,,,,,,
ui_havoc_mod_status_4,1,,g,i,-1,-1,99,,,,,,
ui_havoc_mod_status_5,1,,g,i,-1,-1,99,,,,,,
