string,string,localized_a,string,string,string,string,string,string,string,string,string
0,sealion_apartments,a&MP_SEALION/CALLOUT_GREENHOUSES_TAC,area,,1,0.375,0.375,2000,,,
1,sealion_beachclub,a&MP_SEALION/CALLOUT_BEACH_TAC,area,,1,0.45,0.715,2000,,,
2,sealion_castle,a&MP_SEALION/CALLOUT_CASTLE_TAC,area,,1,0.625,0.535,2000,,,
3,sealion_coastalruins,a&MP_SEALION/CALLOUT_COASTALRUINS_TAC,area,,0,0,0,2000,,,
4,sealion_port,a&MP_SEALION/CALLOUT_PORT_TAC,area,,1,0.7,0.715,2000,,,
5,sealion_powerplant,a&MP_SEALION/CALLOUT_POWERPLANT_TAC,area,,0,0,0,2000,,,
6,sealion_culdesac,a&MP_SEALION/CALLOUT_PORTRUINS_TAC,area,,0,0,0,2000,,,
7,sealion_residential,a&MP_SEALION/CALLOUT_RESIDENCES_TAC,area,,1,0.7,0.4125,2000,,,
8,sealion_shipwreck,a&MP_SEALION/CALLOUT_SHIPWRECK_TAC,area,,1,0.825,0.505,2000,,,
9,sealion_towncenter,a&MP_SEALION/CALLOUT_TOWN_TAC,area,,1,0.375,0.5375,2000,,,
10,sealion_watertreatment,a&MP_SEALION/CALLOUT_TREATMENT_TAC,area,,0,0.57,0.325,2000,,,
11,sealion_waterways,a&MP_SEALION/CALLOUT_WATERWAYS_TAC,area,,0,0,0,2000,,,
