string,string,string,string,string,string,string,string,string
clip64x64x256,,29092,-28760,3322,80,300,-90,Fixes edge by warehouse in swap meet
clip64x64x256,,29026,-28798,3322,80,300,-90,Fixes edge by warehouse in swap meet
clip8x8x256,,23887,-22326,3124,33.301,30,89.999,Fixes edge by warehouse in swap meet
clip8x8x256,,24022,-22550,3124,33.301,210,89.999,Fixes edge by warehouse in swap meet
clip32x32x128,,25700,-33826,3198,0,315,90,Fixes bench missing collision 
clip32x32x128,,25684,-33842,3198,0,315,90,Fixes bench missing collision 
clip128x128x8,,25644,-33860,3170,0,225,90,Fixes bench missing collision 
clip128x128x8,,25628,-33876,3170,0,225,90,Fixes bench missing collision 
clip32x32x32,,29358,-22922,3248,0,30,0,Fixes missin collision on a box by mercado
clip64x64x128,,30016,-29614,3182,90,91,-26.999,Fixes missin collision on truck on a cl that was missed
clip64x64x128,,30028,-29608,3182,90,91,-26.999,Fixes missin collision on truck on a cl that was missed
clip64x64x128,,30064,-29704,3182,90,91,-26.999,Fixes missin collision on truck on a cl that was missed
clip64x64x128,,30076,-29698,3182,90,91,-26.999,Fixes missin collision on truck on a cl that was missed
clip64x64x64,,30036,-29650,3204,90,91,-26.999,Fixes missin collision on truck on a cl that was missed
clip64x64x64,,30048,-29644,3204,90,91,-26.999,Fixes missin collision on truck on a cl that was missed
clip64x64x64,,30046.033,-29668.063,3209.793,52,297.998,-179.999,Fixes missin collision on truck on a cl that was missed
clip64x64x64,,30054,-29664,3209.793,52,297.998,-179.999,Fixes missin collision on truck on a cl that was missed
clip64x64x256,,27056,-30200,3140,90,0,60,Fixes missin collision on truck on a cl that was missed
missile64x64x256,,27056,-30200,3140,90,0,60,Fixes missin collision on truck on a cl that was missed
missile256x256x8,,31615.75,-31973.5,3160.5,0,49.689,90,Fixes surface set to "none collide" near church
shotblock256x256x8,shotblock256x256x8,31615.75,-31973.5,3160.5,0,49.689,90,Fixes surface set to "none collide" near church
clip256x256x8,,31615.75,-31973.5,3160.5,0,49.689,90,Fixes surface set to "none collide" near church
player32x32x128,,24197,-17902,2964,0,30,90,Fixes counter in the gas station.
player32x32x128,,24180,-17912,2964,0,30,90,Fixes counter in the gas station.
player32x32x128,,24243,-17980,2964,0,30,90,Fixes counter in the gas station.
player32x32x128,,24226,-17990,2964,0,30,90,Fixes counter in the gas station.
player32x32x32,,24354,-18047,2964,0,300,90,Fixes counter in the gas station.
player32x32x32,,24345,-18031,2964,0,300,90,Fixes counter in the gas station.
player32x32x32,,24336,-18037,2964,0,300,90,Fixes counter in the gas station.
player32x32x32,,24345,-18053,2964,0,300,90,Fixes counter in the gas station.
clip128x128x8,,29076,-24430,3822,0,300,80,Fixes counter in the gas station.
player32x32x32,,27526,-30024,3316,0,27.9968,0,Fixes swap meet area exploit, blue underside outcropped geo 1
player32x32x32,,27514,-30004,3316,0,27.9968,0,Fixes swap meet area exploit, blue underside outcropped geo 2
player32x32x32,,27554,-30008,3316,0,27.9968,0,Fixes swap meet area exploit, blue underside outcropped geo 3
player32x32x32,,27542,-29988,3316,0,27.9968,0,Fixes swap meet area exploit, blue underside outcropped geo 4
player128x128x8,,27907,-30069.5,3362.5,0,300.000.,95,Fixes players getting on an edge by c flag.
missile128x128x8,,29862.873,-29900.932,3198.743,90,0,60,Fixes missile clip issue in gate area by parking
missile128x128x8,,27065.961,-30280.248,3365.312,0,28,90,Fixes missile clip issue in blue building door way
shotblock256x256x8,shotblock256x256x8,28195,-30093.5,3206.5,0,300,90,Add shotblock to tunnel
shotblock128x128x8,shotblock128x128x8,29015.389,-30656.232,3213.555,0,300,90,Adds shotblock to cantina
shotblock128x128x8,shotblock128x128x8,28983.4,-30602.199,3213.56,0,300,90,Adds shotblock to cantina
shotblock256x256x8,shotblock256x256x8,28841.801,-30614.4,3153.56,0,210,90,Adds shotblock to cantina
shotblock256x256x8,shotblock256x256x8,28726.801,-30680.4,3153.56,0,210,90,Adds shotblock to cantina
clip32x32x128,,31210,-24412,3160,0,30,0,Fixes players getting stuck.
clip256x256x8,,23758,-28686,3316,0,300,90,Fixes umbra issue bythe tunnels
clip256x256x8,,23628,-28460,3316,0,300,90,Fixes umbra issue bythe tunnels
clip256x256x8,,23540,-28312,3316,0,300,90,Fixes umbra issue bythe tunnels
clip64x64x128,,25263,-23679,3528,0,298,90,Fixes missing collision on top of the museum
clip64x64x128,,25236,-23628,3528,0,298,90,Fixes missing collision on top of the museum
shotblock128x128x8,shotblock128x128x8,27452,-30008,3216,0,30,90,Add shotblock to church
shotblock128x128x128,shotblock128x128x128,27034.092,-29951.479,3220,0,31,90,Add shotblock to church
shotblock128x128x256,shotblock128x128x256,27368,-29536,3223.5,90,0,60,Adds shack in the church old church
missile32x32x128,,26650,-22286,3289.5,0,30.33,0,Fixes camera collision by museum IW9-603447
shotblock128x128x8,shotblock128x128x8,27908,-28812,3204,90,0,60,Shotblock IW9-595556
shotblock128x128x128,shotblock128x128x128,29456,-29968,3168,0,30,0,Adds shotblock to fixIW9-597043
shotblock128x128x128,shotblock128x128x128,29460,-29884,3168,0,30,0,Adds shotblock to fixIW9-597043
clip128x128x8,,25732,-22688,3436,85,30,0,Fixes umbra issue in the museum area IW9-612177
missile256x256x8,,27342.5,-24520,3353,0,300,90,Fixes tactical camera issue IW9-608139
missile256x256x8,,27289.5,-24436,3353,0,300,90,Fixes tactical camera issue IW9-608139
clip32x32x128,,28188,-28546,3304,0,300,-174.999,Fixes umbra IW9-608198
missile32x32x128,,31267,-33781.5,3198.5,78.374,48.498,86.942,Fixes tactical camera issue IW9-608112
missile32x32x128,,31265,-33784,3214.5,78.374,48.498,86.942,Fixes tactical camera issue IW9-608112
player64x64x64,,27976,-22688,3368,0,30,0,Fixes tactical camera issue IW9-620257
clip256x256x256,,34964,-30160,2940,0,20,0,Fixes blocker IW9-636360
clip128x128x256,,34856,-30048,3072,0,20,0,Fixes blocker IW9-636360
clip256x256x256,,35088,-30112,3072,0,20,0,Fixes blocker IW9-636360
clip256x256x256,,35036,-29964,3072,0,20,0,Fixes blocker IW9-636360
clip256x256x256,,35136,-30092,3072,0,20,0,Fixes blocker IW9-636360
clip256x256x256,,35084,-29948,3072,0,20,0,Fixes blocker IW9-636360
clip128x128x256,,34828,-29972,3072,0,20,0,Fixes blocker IW9-636360
clip128x128x8,,27359,-29639,3500,0,300,90,Fixes missing collision on old church
shotblock128x128x8,shotblock128x128x8,26596,-22332,3192,0,210,90,Adds shotblock to fix IW9-636158
missile128x128x8,,26596,-22332,3192,0,210,90,Adds shotblock to fix IW9-636158
vehicle32x32x128,,27288,-23192,3022,0,31,0,Adds shotblock to fix IW9-671993
vehicle32x32x128,,27364,-23142,3022,0,31,0,Adds shotblock to fix IW9-671993
clip64x64x256,,23802,-31148,3170,0,30,0,Fixes blocker IW9-682986
clip64x64x256,,23802,-31148,3425,0,30,0,Fixes blocker IW9-682986
missile64x64x256,,23802,-31148,3170,0,30,0,Fixes blocker IW9-682986
missile64x64x256,,23802,-31148,3170,0,30,0,Fixes blocker IW9-682986
clip32x32x32,,26342,-33138,3592,0,0,0,Fixes blocker IW9-604705
player256x256x256,,34131,-27731,3121,358.009,23.582,2.878,Fixes blocker IW9-604705
clip32x32x32,,24312,-32088,3324,0,0,0,Fixeds issue IW9-806641
player32x32x32,,27471,-34380.5,3273,0,10,0,Fixeds issue IW9-806862
player32x32x32,,27441,-34380.5,3273,0,10,0,Fixeds issue IW9-806862
player128x128x8,,23862,-31328,3244,85,210,-179.999,Fixeds issue IW9-806862
clip64x64x128,,24044,-28712,3498,0,30,0,Fixeds issue IW9-806862
clip64x64x128,,23328,-25952,3512,0,30,0,Fixeds issue IW9-806862
clip128x128x8,,27533,-34338,3316,0,10,0,Fixeds issue IW9-806862
clip128x128x8,,27476,-34338,3316,0,10,0,Fixeds issue IW9-806862
shotblock128x128x8,shotblock128x128x8,27533,-34338,3316,0,10,0,Fixeds issue IW9-806862
shotblock128x128x8,shotblock128x128x8,27476,-34338,3316,0,10,0,Fixeds issue IW9-806862
