string,string,string,string
0,cathedral,MP_HISTORIC_GW2/CALLOUT_CATHEDRAL,area
1,east_alley,MP_HISTORIC_GW2/CALLOUT_EAST_ALLEY,area
2,fire_station,MP_HISTORIC_GW2/CALLOUT_FIRE_STATION,area
3,fountain,MP_HISTORIC_GW2/CALLOUT_FOUNTAIN,area
4,garage,MP_HISTORIC_GW2/CALLOUT_GARAGE,area
5,gardens,MP_HISTORIC_GW2/CALLOUT_GARDENS,area
6,gas_station,MP_HISTORIC_GW2/CALLOUT_GAS_STATION,area
7,intersection,MP_HISTORIC_GW2/CALLOUT_INTERSECTION,area
8,iron_shop,MP_HISTORIC_GW2/CALLOUT_IRON_SHOP,area
9,main_street,MP_HISTORIC_GW2/CALLOUT_MAIN_STREET,area
10,market,MP_HISTORIC_GW2/CALLOUT_MARKET,area
11,museum,MP_HISTORIC_GW2/CALLOUT_MUSEUM,area
12,playground,MP_HISTORIC_GW2/CALLOUT_PLAYGROUND,area
13,plaza,MP_HISTORIC_GW2/CALLOUT_PLAZA,area
14,promenade,MP_HISTORIC_GW2/CALLOUT_PROMENADE,area
15,scrapyard,MP_HISTORIC_GW2/CALLOUT_SCRAPYARD,area
16,terrace,MP_HISTORIC_GW2/CALLOUT_TERRACE,area
17,theater,MP_HISTORIC_GW2/CALLOUT_THEATER,area
18,tunnels,MP_HISTORIC_GW2/CALLOUT_TUNNELS,area
19,west_alley,MP_HISTORIC_GW2/CALLOUT_WEST_ALLEY,area
20,mercado,MP_HISTORIC_GW2/CALLOUT_MERCADO,area
