string,string,localized_a,int
invalid,UNKNOWN,a&PRESENCE/SP_UNKNOWN_MAP,0
strike,GOLD,a&PRESENCE/SP_STRIKE,0
nightwar,GOLD,a&PRESENCE/SP_NIGHTWAR,0
marina,GOLD,a&PRESENCE/SP_MARINA,0
montage_canals,GOLD,a&PRESENCE/SP_MONTAGE_CANALS,0
border,GOLD,a&PRESENCE/SP_BORDER,0
backstabbed,GOLD,a&PRESENCE/SP_BACKSTABBED,0
gunship_ambush,GOLD,a&PRESENCE/SP_GUNSHIP_AMBUSH,0
gunship_compound,GOLD,a&PRESENCE/SP_GUNSHIP_COMPOUND,0
intercept,GOLD,a&PRESENCE/SP_INTERCEPT,0
convoy_chase,GOLD,a&PRESENCE/SP_CONVOY_CHASE,0
party,GOLD,a&PRESENCE/SP_PARTY,0
shipaf,GOLD,a&PRESENCE/SP_SHIPAF,0
wounded,GOLD,a&PRESENCE/SP_WOUNDED,0
prison,GOLD,a&PRESENCE/SP_PRISON,0
stolen,GOLD,a&PRESENCE/SP_STOLEN,0
shadowbase,GOLD,a&PRESENCE/SP_SHADOWBASE,0
tower,GOLD,a&PRESENCE/SP_TOWER,0
