string,string,localized_a,string,string
0,construction,a&MP_BOUNTY/CALLOUT_CONSTRUCTION,area,
1,hotel,a&MP_BOUNTY/CALLOUT_HOTEL,area,
2,roof_tops,a&MP_BOUNTY/CALLOUT_ROOF_TOPS,area,
3,fire,a&MP_BOUNTY/CALLOUT_FIRE,area,
4,green_building,a&MP_BOUNTY/CALLOUT_GREEN_BUILDING,area,
5,shrine,a&MP_BOUNTY/CALLOUT_SHRINE,area,
6,apartments,a&MP_BOUNTY/CALLOUT_APARTMENTS,area,
8,groceries,a&MP_BOUNTY/CALLOUT_GROCERIES,area,
9,center,a&MP_BOUNTY/CALLOUT_CENTER,area,
10,garage,a&MP_BOUNTY/CALLOUT_GARAGE,area,
11,trucks,a&MP_BOUNTY/CALLOUT_TRUCKS,area,
12,shootout,a&MP_BOUNTY/CALLOUT_SHOOTOUT,area,
13,stores,a&MP_BOUNTY/CALLOUT_STORES,area,
14,mansion,a&MP_BOUNTY/CALLOUT_MANSION,area,
15,shanty,a&MP_BOUNTY/CALLOUT_SHANTY,area,
16,vans,a&MP_BOUNTY/CALLOUT_VANS,area,
17,dead_end,a&MP_BOUNTY/CALLOUT_DEAD_END,area,
18,underpass,a&MP_BOUNTY/CALLOUT_UNDERPASS,area,
19,backlot,a&MP_BOUNTY/CALLOUT_BACKLOT,area,
20,alley,a&MP_BOUNTY/CALLOUT_ALLEY,area,
21,veterinarian,a&MP_BOUNTY/CALLOUT_VETERINARIAN,area,
22,intersection,a&MP_BOUNTY/CALLOUT_INTERSECTION,area,
23,red_car,a&MP_BOUNTY/CALLOUT_RED_CAR,area,
24,narrow_passage,a&MP_BOUNTY/CALLOUT_NARROW_PASSAGE,area,
