string,string,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a,localized_a
0,buttons_default,a&MENU/DEFAULT,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/USE_EQUIPMENT,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
1,buttons_tactical,a&MENU/TACTICAL,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&MENU/CROUCH_PRONE,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/USE_EQUIPMENT,a&MENU/JUMP,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
2,buttons_lefty,a&MENU/LEFTY,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&OPTIONS/FIRE_WEAPON,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/USE_EQUIPMENT,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
3,buttons_nomad,a&MENU/NOMAD,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/USE_EQUIPMENT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
4,buttons_nomad_tactical,a&MENU/NOMAD_TACTICAL,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&MENU/CROUCH_PRONE,a&MENU/USE_EQUIPMENT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/JUMP,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
5,buttons_nomad_lefty,a&MENU/NOMAD_LEFTY,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&OPTIONS/FIRE_WEAPON,a&MENU/USE_EQUIPMENT,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
6,buttons_bumper_jumper,a&PLATFORM/BUMPER_JUMPER,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/JUMP,a&MENU/USE_EQUIPMENT,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
7,buttons_bumper_jumper_tac,a&PLATFORM/BUMPER_JUMPER_TACTICAL,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&MENU/CROUCH_PRONE,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/JUMP,a&MENU/USE_EQUIPMENT,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
8,buttons_one_hand_gun,a&MENU/ONE_HAND_GUN,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&MENU/MELEE_CHANGE_ZOOM,a&OPTIONS/AIM_DOWN_SIGHT,a&MENU/USE_EQUIPMENT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/JUMP,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
9,buttons_stick_move,a&MENU/STICK_MOVE,a&OPTIONS/SPRINT_HOLD_BREATH_SP,a&MENU/JUMP,a&OPTIONS/AIM_DOWN_SIGHT,a&OPTIONS/FIRE_WEAPON,a&MENU/THROW_SPECIAL_GRENADE,a&MENU/USE_EQUIPMENT,a&MENU/MELEE_CHANGE_ZOOM,a&MENU/CROUCH_PRONE,a&MENU/USE_RELOAD,a&OPTIONS/SWITCH_WEAPON,a&MENU/DPAD_DESC,a&OPTIONS/MISSION_ABILITY,a&OPTIONS/MISSION_ABILITY_2,a&MENU/DPAD_DOWN_DESC,a&MENU/DPAD_LEFT_DESC_NO_INSPECT,a&MENU/PAUSE,a&LUA_MENU/OBJECTIVES_OPERATION_MENU
