string,string,localized_a,string,string
0,nursery,a&MP_WARTORN/NURSERY,area,
1,barber_shop,a&MP_WARTORN/BARBER_SHOP,area,
2,glass_shop,a&MP_WARTORN/GLASS_SHOP,area,
3,electronics_shop,a&MP_WARTORN/ELECTRONICS_SHOP,area,
4,crater,a&MP_WARTORN/CRATER,area,
5,west_gate,a&MP_WARTORN/WEST_GATE,area,
6,shed,a&MP_WARTORN/SHED,area,
7,tank,a&MP_WARTORN/TANK,area,
8,hotel,a&MP_WARTORN/HOTEL,area,
9,supermarket,a&MP_WARTORN/SUPERMARKET,area,
10,main_street,a&MP_WARTORN/MAIN_STREET,area,
11,east_gate,a&MP_WARTORN/EAST_GATE,area,
12,bakery,a&MP_WARTORN/BAKERY,area,
13,cemetery,a&MP_WARTORN/CEMETERY,area,
14,shelter,a&MP_WARTORN/SHELTER,area,
15,funeral_home,a&MP_WARTORN/FUNERAL_HOME,area,
16,well,a&MP_WARTORN/WELL,area,
17,real_estate_center,a&MP_WARTORN/REAL_ESTATE_CENTER,area,
18,internet_cafe,a&MP_WARTORN/INTERNET_CAFE,area,
19,laundry_shop,a&MP_WARTORN/LAUNDRY_SHOP,area,
20,hookah_shop,a&MP_WARTORN/HOOKAH_SHOP,area,
21,tower,a&MP_WARTORN/TOWER,area,
22,bike_shop,a&MP_WARTORN/BIKE_SHOP,area,
