string,string,localized_a,string,string,string,string
1,drop_hostage,a&CP_STK_FARIDAH/DROP_HOSTAGE,0,,,
2,craft_menu_prompt,a&COOP_CRAFTING/CRAFT_TUTORIAL,0,[{+actionslot 1}],[{+actionslot 1}],duration_none
3,use_skill_point,a&CP_SKILL_TREE/HINT_USE_POINT,0,[{+actionslot 4}],[{+actionslot 4}],duration_none
4,turn_back,a&COOP_GAME_PLAY/TURN_BACK,1,,,
5,boss_dead,a&CP_PVPVE/BOSS_DEAD,1,,,
6,abandon_mission,a&COOP_GAME_PLAY/ABANDON_MISSION,1,,,
7,fg_redplayer_rules,a&CP_FIRINGRANGE/FG_REDPLAYER_RULES,0,,,
8,fg_blueplayer_rules,a&CP_FIRINGRANGE/FG_BLUEPLAYER_RULES,0,,,
9,toggle_laser_targeting,a&CP_STK_EMBASSY/TOGGLE_LASER_TARGETING,0,[{+actionslot 2}],[{+actionslot 2}],duration_none
10,use_laser_targeting,a&CP_STK_EMBASSY/USE_LASER_TARGETING,0,[{+attack}],[{+attack}],duration_none
11,use_grenades,a&CP_FIRINGRANGE/USE_GRENADES,0,,,
12,go_prone,a&CP_FIRINGRANGE/GO_PRONE,0,,,
13,fg_redplayer_rules,a&CP_FIRINGRANGE/FG_REDPLAYER_RULES,0,,,
14,fg_blueplayer_rules,a&CP_FIRINGRANGE/FG_BLUEPLAYER_RULES,0,,,
15,fg_soloplayer_rules,a&CP_FIRINGRANGE/FG_SOLOPLAYER_RULES,0,,,
16,emp_blast_ready,a&CP_RAID_COMPLEX_BOSS/EMP_BLAST_READY,0,[{+usereload}],[{+activate}],duration_none
17,emp_hit_target,a&CP_RAID_COMPLEX_BOSS/EMP_HIT_TARGET,0,,,
18,toss_ammo_nag,a&COOP_GAME_PLAY/TOSS_AMMO_NAG,2,,,
19,self_destruct,a&CP_STRIKE/SELF_DESTRUCT,0,[{+usereload}],[{+activate}],duration_none
20,drop_morales_hostage,a&CP_BR_SYRK_OBJECTIVES/HOSTAGE_DROP,0,[{+usereload}],[{+activate}],duration_medium
21,drop_pilot_hostage,a&CP_BR_SYRK_OBJECTIVES/PILOT_DROP,0,[{+usereload}],[{+activate}],duration_medium
22,enter_vehicle_with_hostage,a&CP_BR_SYRK_OBJECTIVES/ENTER_VEHICLE_WITH_HOSTAGE,0,,,
23,exit_drone,a&CP_STRIKE/EXIT_DRONE,0,[{+usereload}],[{+activate}],duration_none
24,detonate_ieds,a&CP_STRIKE/DETONATE_IEDS,0,[{+attack}],[{+attack}],duration_none
25,manual_revive,a&CP_STRIKE/MANUAL_REVIVE,0,[{+usereload}],[{+activate}],duration_none
26,respawn_cooldown,a&CP_STRIKE/RESPAWN_COOLDOWN,0,,,
27,respawn_hint,a&CP_STRIKE/RESPAWN_HINT,0,[{+goStand}],[{+goStand}],duration_none
28,select_respawner,a&CP_STRIKE/RESPAWN_SELECT,0,,,
29,activate_suicide_vest,a&CP_STRIKE/ACTIVATE_SUICIDE_VEST,0,[{+activate}],[{+activate}],duration_none
30,detonate_suicide_vest,a&CP_STRIKE/DETONATE_SUICIDE_VEST,0,[{+activate}],[{+activate}],duration_none
31,drop_informant,a&CP_STRIKE/OBJ_INFORMANT_DROP,0,[{+usereload}],[{+activate}],duration_medium
32,start_disguise,a&CP_STRIKE/START_DISGUISE,0,,,
33,give_up,a&COOP_GAME_PLAY/GIVE_UP,0,[{+usereload}],[{+activate}],duration_medium
34,respawn_jump,a&COOP_GAME_PLAY/RESPAWN_HINT,0,,,
35,respawn_hint,a&COOP_GAME_PLAY/RESPAWN_ALLIES_HINT,0,,,
36,already_have_munition,a&CP_BR/ALREADY_HAVE_THIS,0,,,
37,munition_slots_full,a&CP_BR/MUN_SLOTS_FULL,0,,,
38,already_have_weap,a&COOP_GAME_PLAY/ALREADY_HAVE_WEAP,0,,,
43,ascender_blocked,a&MP/ASCENDER_BLOCKED,0,,,
49,munition_unavailable,a&COOP_GAME_PLAY/MUNITION_UNAVAILABLE,0,,,
