string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
saba_hydro,modernVillage,10,22,32,1,1,3,,,2,0,1,0,1,1,2,3
saba_hydro,redVillage,12,25,35,1,1,3,,,,,,1,1,1,2,3
saba_hydro,hydroStation,8,15,22,3,1,3,,,,,,0,0,0,1,2.5
saba_hydro,subStation,3,10,20,2,0,3,,,,,,0,1,0,0,2
saba_hydro,orphan,0,5,10,1,0,3,,,,,,0,0,1,2,2.5
saba_oilfield,oilProcessing,14,26,36,1,1,3,,,1,1,1,0,2,1,2,2.5
saba_oilfield,refineryStorage,16,31,41,1,1,3,,,,,,1,1,1,2,2.5
saba_oilfield,oilAdmin,9,13,23,2,1,3,,,,,,0,1,1,1,1.5
saba_oilfield,orphan,3,6,9,1,1,3,,,,,,0,0,0,0,2
saba_exhume,upperQuarry,11,18,23,1,1,3,,,1,1,1,0,1,0,1,2
saba_exhume,thePit,19,26,34,2,0,3,,,,,,1,1,1,1,1.5
saba_exhume,quarryProcessing,12,18,25,1,1,3,,,,,,0,1,0,1,3
saba_exhume,quarryWorkcamp,10,18,23,1,1,3,,,,,,0,1,0,1,2.5
saba_exhume,quarrySteppes,8,12,20,1,1,3,,,,,,0,0,0,1,2
saba_exhume,orphan,6,12,15,1,0,3,,,,,,0,0,0,0,2
saba_caves,caveFields,11,19,29,1,0,3,,,3,1,1,1,1,0,1,2
saba_caves,caves,10,20,25,3,1,3,,,,,,0,0,0,0,1.5
saba_caves,caveVillage,10,23,33,2,1,3,,,,,,0,1,0,1,3
saba_caves,crashlowercaves,8,15,18,3,0,3,,,,,,0,1,0,1,1.5
saba_caves,ridgevillage,12,20,30,1,0,3,,,,,,0,1,1,2,2
saba_caves,bottomtown,9,13,23,1,1,3,,,,,,0,1,0,1,1.5
saba_caves,shadowcrashentrance,6,15,25,2,0,3,,,,,,0,0,0,0,1.5
saba_caves,shadowcrash,9,18,28,3,0,3,,,,,,0,1,1,1,3
saba_caves,orphan,6,15,25,1,0,3,,,,,,0,0,0,0,1.5
saba_fort,storage,8,15,25,2,1,3,,,2,0,1,0,0,1,2,2
saba_fort,village,4,10,20,1,0,3,,,,,,0,1,0,1,2
saba_fort,fortEntrance,4,8,15,1,1,3,,,,,,0,1,0,1,2
saba_fort,fort,10,18,25,3,0,3,,,,,,1,1,1,1,1.5
saba_fort,orphan,4,8,16,1,1,3,,,,,,0,0,0,0,2
saba_lone,lonePort,11,18,26,1,1,3,,,1,1,1,0,1,1,1,2.5
saba_lone,loneStorage,11,23,31,2,1,3,,,,,,0,1,0,1,2
saba_lone,loneShip,8,15,25,1,0,3,,,,,,0,0,0,0,1
saba_lone,portAuthority,14,21,29,1,1,3,,,,,,1,1,1,2,2
saba_lone,orphan,4,8,15,1,1,3,,,,,,0,0,0,0,1
saba_sira,football,13,18,25,1,0,3,,,2,0,1,0,1,1,1,2.5
saba_sira,coastline,11,16,23,1,0,3,,,,,,0,1,0,1,2
saba_sira,village,13,18,28,1,2,3,,,,,,0,1,0,1,3
saba_sira,downtown,13,20,27,2,2,3,,,,,,1,2,0,1,2
saba_sira,mall,11,18,26,3,2,3,,,,,,0,1,0,1,2
saba_sira,promenade,11,18,25,1,0,3,,,,,,0,1,1,1,2
saba_sira,orphan,0,6,10,1,0,3,,,,,,0,0,0,0,1.5
saba_cemetery,compound,4,8,12,1,1,3,,,1,1,1,,,,,1
saba_cemetery,keeper,2,6,14,1,1,3,,,,,,,,,,1
saba_cemetery,tombstones,4,8,14,1,1,3,,,,,,,,,,1
saba_cemetery,village,4,8,14,1,1,3,,,,,,,,,,1
saba_cemetery,villagesub7,4,8,14,1,1,3,,,,,,,,,,1
saba_cemetery,orphan,0,5,12,1,1,3,,,,,,,,,,1
saba_oasis,oilRuins,4,6,8,1,1,3,,,1,0,0,,,,,1
saba_oasis,pondRuins,4,6,8,1,1,3,,,,,,,,,,1
saba_oasis,ponds,3,6,8,1,1,3,,,,,,,,,,1
saba_oasis,orphan,0,4,8,1,1,3,,,,,,,,,,1
saba_oasis,tombs,4,8,10,2,0,3,,,,,,,,,,1
saba_sunken,shipwreck,6,12,20,1,0,3,,,2,0,1,,,,,2
saba_sunken,underWaterVillage,8,20,30,1,1,3,,,,,,,,,,2
saba_sunken,landVillageWest,7,15,25,1,1,3,,,,,,,,,,2
saba_sunken,landVillageEast,8,12,22,1,1,3,,,,,,,,,,2
saba_sunken,orphan,4,8,12,1,2,3,,,,,,,,,,1
saba_fishtwn,fishburbs,6,14,18,1,1,3,,,2,0,1,0,1,1,2,1.5
saba_fishtwn,westfish,6,12,17,2,1,3,,,,,,1,0,0,1,2
saba_fishtwn,eastfish,6,12,18,2,1,3,,,,,,0,0,0,1,2
saba_fishtwn,fishpalms,4,8,15,1,1,3,,,,,,0,1,1,1,2.5
saba_fishtwn,fishlight,6,12,17,1,1,3,,,,,,0,0,1,1,1.5
saba_fishtwn,fishhotel,6,12,18,1,1,3,,,,,,0,0,0,1,2
saba_fishtwn,fishresort,6,16,24,1,1,3,,,,,,0,0,1,2,2
saba_fishtwn,fishmarket,6,10,18,1,0,3,,,,,,0,1,0,1,2
saba_fishtwn,fishmarina,4,8,15,1,0,3,,,,,,0,0,0,0,2.5
saba_fishtwn,fishrestaurant,4,12,21,1,1,3,,,,,,0,0,1,1,2
saba_fishtwn,fishandchips,6,13,22,1,1,3,,,,,,0,1,1,1,2.5
saba_fishtwn,orphan,0,4,5,1,0,3,,,,,,0,0,0,0,2
saba_airport,terminal,10,20,26,3,1,3,,,1,1,1,1,0,0,0,2
saba_airport,tarmac,5,10,20,1,1,3,,,,,,0,0,1,1,3
saba_airport,garage,10,12,20,2,1,3,,,,,,0,0,0,1,2
saba_airport,gates,6,10,18,1,1,3,,,,,,0,1,0,0,2
saba_airport,tower,9,24,34,2,0,3,,,,,,0,1,1,2,1.5
saba_airport,konniship,4,6,16,1,0,3,ru,,,,,0,0,0,0,1
saba_airport,orphan,4,6,16,1,0,3,,,,,,0,0,0,0,1
saba_oldtwn,oldtwnPalace,6,12,18,3,1,3,,,3,1,1,1,0,0,1,2
saba_oldtwn,eastgateHotel,12,24,32,2,1,3,,,,,,0,0,0,2,2
saba_oldtwn,westgateDepot,4,14,22,1,0,3,,,,,,0,1,1,2,2
saba_oldtwn,oldtwnFarms,8,12,20,1,1,3,,,,,,0,1,0,1,1.5
saba_oldtwn,oldtwnVillage,6,27,32,1,1,3,,,,,,0,0,1,2,2
saba_oldtwn,southgateVillas,8,15,22,1,1,3,,,,,,0,0,0,0,2
saba_oldtwn,oldtwnSpice,8,27,24,2,0,4,,,,,,1,1,0,1,1.5
saba_oldtwn,orphan,8,14,16,1,0,2,,,,,,0,0,0,0,2
saba_wartorn,cityRuins,19,28,36,1,1,2,,,1,1,1,1,2,1,3,3
saba_wartorn,outpost,13,21,28,1,1,2,,,,,,0,1,0,1,2
saba_wartorn,oilRuins,14,24,31,1,1,2,,,,,,0,2,1,2,2
saba_wartorn,scrapyard,9,13,23,1,1,2,,,,,,0,1,0,0,2
saba_wartorn,orphan,6,10,16,1,0,2,,,,,,0,0,0,0,1
saba_observatory,facultyHousing,8,9,14,1,1,3,ru,,,,,,,,,1.5
saba_observatory,eastTelescope,3,7,25,2,0,3,ru,,3,1,1,0,0,0,1,1.5
saba_observatory,researchCenter,4,8,12,3,1,3,ru,,,,,1,0,0,0,1.5
saba_observatory,observeEntrance,5,14,18,2,0,3,ru,,,,,0,1,1,2,1.5
saba_observatory,northTelescope,8,14,19,3,0,3,ru,,,,,0,0,1,1,2
saba_observatory,westTelescope,4,8,14,2,0,3,ru,,,,,0,0,0,0,1.5
saba_observatory,southTelescope,4,10,16,2,0,3,ru,,,,,0,0,1,1,1.5
saba_observatory,studentHousing,4,5,9,1,1,3,ru,,,,,0,1,0,0,1.5
saba_observatory,orphan,4,8,10,1,0,3,ru,,,,,0,0,0,0,1.5
saba_moderncity,warehouseDistrict,10,20,28,1,1,7,,,,,,1,0,,,1
saba_moderncity,eastDistrict,10,20,28,1,1,7,,,2,1,2,,,1,2,1
saba_moderncity,westDistrict,10,20,28,1,1,7,,,,,,,,1,2,1
saba_moderncity,centralDistrict,8,10,20,3,1,10,,,,,,,,1,2,1
saba_moderncity,southDistrict,10,20,30,2,1,6,,,,,,,,,,1
saba_moderncity,bridgeDistrict,10,20,30,2,1,6,,,,,,1,0,,,1
saba_moderncity,parkDistrict,10,20,30,1,1,6,,,,,,,,1,2,1
saba_moderncity,upperWestDistrict,10,20,30,1,1,6,,,,,,,,,,1
saba_moderncity,eastGas,5,10,16,2,1,6,,,,,,0,1,,,1
saba_moderncity,warehouseGas,10,15,25,1,1,6,,,,,,,,,,1
saba_moderncity,academyDistrict,10,15,25,1,1,6,,,,,,0,1,,,1
saba_moderncity,northWarehouseDistrict,8,15,20,1,1,6,,,,,,,,,,1
saba_moderncity,embassyDistrict,10,20,26,2,1,6,,,,,,,,,,1
saba_moderncity,streets,10,20,30,1,1,6,,,,,,,,,,1
saba_moderncity,orphan,0,6,12,1,0,2,,,,,,,,,,1
saba_marshland,slum,10,19,25,1,0,2,,,,,,1,0,0,1,2.5
saba_marshland,resort,12,28,36,3,1,4,,,2,1,1,0,0,1,2,2
saba_marshland,policeStation,6,15,25,2,1,3,,,,,,1,1,0,1,1
saba_marshland,storage,8,20,30,1,0,4,,,,,,0,1,1,1,2
saba_marshland,westriverVillage,9,20,25,1,0,3,,,,,,0,0,1,2,1.5
saba_marshland,eastriverVillage,8,19,26,1,0,3,,,,,,0,1,0,1,2
saba_marshland,fobhill,2,8,15,2,0,2,,,,,,0,0,0,0,1
saba_marshland,orphan,0,9,12,1,0,4,,,,,,0,0,0,0,1
saba_mtntwn,northlakeVillage,8,15,25,1,0,4,,,,,,0,0,0,1,2
saba_mtntwn,mtnlakeVillage,6,15,25,2,1,2,,,3,1,1,1,1,0,1,3
saba_mtntwn,zenithVillage,9,25,35,3,0,3,,,,,,0,0,0,1,2.5
saba_mtntwn,steppeVillage,6,15,25,1,1,2,,,,,,0,0,0,1,2.5
saba_mtntwn,eastslopeVillage,5,18,26,1,0,2,,,,,,0,1,1,2,1.5
saba_mtntwn,orphan,4,6,8,1,0,2,,,,,,0,0,0,0,2
saba_suburbs_01,orphan,4,10,15,1,0,2,,,,,,,,,,
saba_suburbs_01,roadsideShopping,4,15,20,1,1,2,,,,,,,,,,
saba_suburbs_03,orphan,7,13,18,1,1,2,,,,,,,,,,
saba_suburbs_03,roadsideVillage,12,19,28,1,1,3,,,,,,,,,,
saba_suburbs_03,roadsideHotel,9,15,22,1,0,3,,,,,,,,,,
saba_suburbs_04,orphan,9,27,35,1,1,4,,,,,,,,,,
saba_suburbs_05,alienarea,9,27,35,1,1,4,,,3,1,1,1,1,0,1,4
saba_suburbs_05,orphan,10,16,21,1,1,4,,,,,,,,,,
saba_suburbs_06,orphan,9,15,22,1,1,2,,,,,,,,,,
saba_suburbs_06,beachstrip,9,15,22,1,1,2,,,,,,,,,,
saba_suburb_09,orphan,8,16,25,1,1,3,,,,,,,,,,
saba_suburbs_11,orphan,9,15,22,1,1,2,,,,,,,,,,
saba_suburbs_12,orphan,9,12,18,1,1,3,,,,,,,,,,
saba_suburbs_12,lefttracks,9,12,18,1,1,3,,,,,,,,,,
saba_suburbs_12,righttracks,9,12,18,1,1,3,,,,,,,,,,
saba_suburbs_13,orphan,9,14,26,1,1,3,,,,,,,,,,
saba_suburbs_14,orphan,9,14,19,2,1,3,,,,,,,,,,
saba_suburbs_14,heights,8,10,15,1,1,2,,,,,,,,,,
saba_suburbs_14,deathcaves,8,10,15,3,1,2,,,,,,,,,,
tieroverride_police,,,,,3,,,,,,,,,,,,
tieroverride_military,,,,,2,,,,,,,,,,,,
minVehicleSpawns,veh9_pwc,10,,,,,,,,,,,,,,,
