string,string,string,string,string,string,string,string
saba_hydro,modernVillage,10,15,25,2,1,2
saba_hydro,redVillage,10,15,25,2,1,2
saba_hydro,hydroStation,7,11,15,2,1,2
saba_hydro,subStation,3,6,10,2,1,2
saba_hydro,orphan,0,6,9,2,1,2
saba_oilfield,oilProcessing,8,10,15,1,1,2
saba_oilfield,refineryStorage,10,15,25,1,1,2
saba_oilfield,oilAdmin,6,8,12,1,1,2
saba_oilfield,orphan,0,6,9,1,1,2
saba_exhume,upperQuarry,8,14,19,1,1,2
saba_exhume,thePit,18,28,35,1,1,2
saba_exhume,quarryProcessing,9,15,19,1,1,2
saba_exhume,quarryWorkcamp,7,16,20,1,1,2
saba_exhume,quarrySteppes,6,14,18,1,1,2
saba_exhume,orphan,0,6,9,1,1,2
saba_caves,caveFields,7,12,25,3,1,2
saba_caves,caves,15,20,20,3,1,2
saba_caves,caveVillage,7,12,25,3,1,2
saba_caves,orphan,0,6,9,3,1,2
saba_fort,storage,10,13,16,3,1,2
saba_fort,village,4,8,10,3,1,2
saba_fort,fortEntrance,4,8,10,3,1,2
saba_fort,fort,15,23,26,3,1,2
saba_fort,orphan,4,8,8,3,1,2
saba_lone,lonePort,8,10,12,1,1,2
saba_lone,loneStorage,8,12,16,1,1,2
saba_lone,loneShip,8,10,12,1,1,2
saba_lone,portAuthority,8,12,16,1,1,2
saba_lone,orphan,4,8,10,1,1,2
saba_sira,football,10,15,25,2,1,2
saba_sira,coastline,8,12,20,2,1,2
saba_sira,village,10,15,25,2,1,2
saba_sira,downtown,11,18,35,2,1,2
saba_sira,mall,11,18,35,2,1,2
saba_sira,promenade,11,18,30,2,1,2
saba_sira,orphan,0,6,10,2,1,2
saba_cemetery,theWash,0,0,0,2,1,2
saba_cemetery,cemetery,0,0,0,2,1,2
saba_cemetery,orphan,0,0,0,2,1,2
saba_sunken,shipwreck,6,14,20,1,1,2
saba_sunken,underWaterVillage,8,16,24,1,1,2
saba_sunken,landVillageWest,7,15,22,1,1,2
saba_sunken,landVillageEast,8,16,23,1,1,2
saba_sunken,orphan,4,8,12,1,1,2
saba_fishtwn,fishburbs,6,12,24,2,1,2
saba_fishtwn,westfish,8,16,24,2,1,2
saba_fishtwn,eastfish,8,16,24,2,1,2
saba_fishtwn,fishpalms,4,8,16,2,1,2
saba_fishtwn,fishlight,6,12,20,2,1,2
saba_fishtwn,fishhotel,6,12,20,2,1,2
saba_fishtwn,fishresort,6,12,20,2,1,2
saba_fishtwn,fishmarket,6,12,20,2,1,2
saba_fishtwn,fishmarina,4,8,16,2,1,2
saba_fishtwn,fishrestaurant,4,12,20,2,1,2
saba_fishtwn,fishandchips,4,12,20,2,1,2
saba_fishtwn,orphan,0,4,0,2,1,2
saba_airport,terminal,20,25,30,1,1,2
saba_airport,tarmac,5,6,10,1,1,2
saba_airport,garage,10,12,15,1,1,2
saba_airport,gates,8,10,12,1,1,2
saba_airport,tower,5,8,10,1,1,2
saba_airport,orphan,4,6,8,1,1,2
saba_oldtwn,oldtwnPalace,12,15,18,2,1,2
saba_oldtwn,eastgateHotel,12,14,16,2,1,2
saba_oldtwn,westgateDepot,8,12,14,2,1,2
saba_oldtwn,oldtwnFarms,8,8,10,2,1,2
saba_oldtwn,oldtwnVillage,12,14,16,2,1,2
saba_oldtwn,southgateVillas,10,14,16,2,1,2
saba_oldtwn,oldtwnSpice,12,15,18,2,1,2
saba_oldtwn,orphan,10,14,16,2,1,2
saba_wartorn,cityRuins,10,12,14,1,1,2
saba_wartorn,outpost,10,12,14,1,1,2
saba_wartorn,oilRuins,12,14,16,1,1,2
saba_wartorn,scrapyard,8,8,10,1,1,2
saba_wartorn,orphan,8,8,10,1,1,2
saba_observatory,facultyHousing,4,8,10,3,1,2
saba_observatory,eastTelescope,4,8,10,3,1,2
saba_observatory,researchCenter,4,8,10,3,1,2
saba_observatory,observeEntrance,4,8,10,3,1,2
saba_observatory,northTelescope,4,8,20,3,1,2
saba_observatory,westTelescope,4,8,10,3,1,2
saba_observatory,southTelescope,4,8,10,3,1,2
saba_observatory,studentHousing,4,8,10,3,1,2
saba_observatory,orphan,4,8,10,3,1,2
saba_moderncity,warehouseDistrict,8,15,25,1,1,2
saba_moderncity,eastDistrict,8,15,25,1,1,2
saba_moderncity,westDistrict,8,15,25,1,1,2
saba_moderncity,centralDistrict,20,30,40,2,1,2
saba_moderncity,southDistrict,8,15,25,1,1,2
saba_moderncity,orphan,0,6,12,1,1,2
saba_marshland,slum,7,12,18,1,1,2
saba_marshland,resort,6,16,24,3,1,2
saba_marshland,policeStation,6,14,21,2,1,2
saba_marshland,storage,8,18,26,1,1,2
saba_marshland,westriverVillage,6,12,21,1,1,2
saba_marshland,eastriverVillage,7,14,21,1,1,2
saba_marshland,orphan,0,20,25,1,1,2
saba_mtntwn,northlakeVillage,8,18,25,2,1,2
saba_mtntwn,mtnlakeVillage,6,12,20,2,1,2
saba_mtntwn,zenithVillage,9,18,30,2,1,2
saba_mtntwn,steppeVillage,6,12,20,2,1,2
saba_mtntwn,eastslopeVillage,5,10,18,2,1,2
saba_mtntwn,orphan,0,6,8,2,1,2
saba_suburbs_10,orphan,0,0,15,1,1,2
saba_suburbs_11,orphan,0,0,15,1,1,2
saba_suburbs_12,orphan,0,0,15,1,1,2
saba_suburbs_13,orphan,0,0,15,1,1,2
saba_suburbs_14,orphan,0,0,15,1,1,2
saba_suburbs_01,orphan,5,10,15,1,1,2
saba_suburbs_01,roadsideShopping,7,15,20,1,1,2
saba_suburbs_02,orphan,0,0,15,1,1,2
saba_suburbs_02,roadsideVillage,0,0,10,1,1,2
saba_suburbs_04,orphan,0,0,10,1,1,2
saba_suburbs_05,orphan,0,0,10,1,1,2
saba_suburbs_07,orphan,0,0,10,1,1,2
saba_suburb_09,orphan,0,0,10,1,1,2
saba_suburbs_11,orphan,0,0,10,1,1,2
saba_suburbs_08,orphan,0,0,10,1,1,2
saba_suburbs_06,orphan,0,0,10,1,1,2
saba_suburbs_03,orphan,0,0,15,1,1,2
saba_suburbs_03,roadsideHotel,0,0,10,1,1,2
