string,string,string,string
0,buses,MP_CROSSING/CALLOUT_BUSES,area
1,camper,MP_CROSSING/CALLOUT_CAMPER,area
2,conf_room,MP_CROSSING/CALLOUT_CONFERENCE_ROOM,area
3,covered_mex,MP_CROSSING/CALLOUT_COVERED_WALKWAY_MEX,area
4,covered_us,MP_CROSSING/CALLOUT_COVERED_WALKWAY_US,area
5,delivery,MP_CROSSING/CALLOUT_DELIVERY_ZONE,area
6,explosion,MP_CROSSING/CALLOUT_EXPLOSION,area
7,forklift,MP_CROSSING/CALLOUT_FORKLIFT,area
8,garbage,MP_CROSSING/CALLOUT_GARBAGE_TRUCK,area
9,m_border,MP_CROSSING/CALLOUT_MEXICO_BORDER,area
10,m_offices,MP_CROSSING/CALLOUT_MEXICO_OFFICES,area
11,police,MP_CROSSING/CALLOUT_POLICE_CARS,area
12,s_office,MP_CROSSING/CALLOUT_SMALL_OFFICE,area
13,staff,MP_CROSSING/CALLOUT_STAFF_ROOM,area
14,truck,MP_CROSSING/CALLOUT_TRUCK_LANE,area
15,us_admin,MP_CROSSING/CALLOUT_US_ADMINISTRATION,area
16,us_border,MP_CROSSING/CALLOUT_US_BORDER,area
17,us_offices,MP_CROSSING/CALLOUT_US_OFFICES,area
18,w_room,MP_CROSSING/CALLOUT_WAITING_ROOM,area
