string,string,string,string
0,antenna,MP_SKERRIES_V2/ANTENNA,area
1,back_courtyard,MP_SKERRIES_V2/BACK_COURTYARD,area
2,boat_landing,MP_SKERRIES_V2/BOAT_LANDING,area
3,bunker,MP_SKERRIES_V2/BUNKER,area
4,cliffside,MP_SKERRIES_V2/CLIFFSIDE,area
5,docks,MP_SKERRIES_V2/DOCKS,area
6,front_courtyard,MP_SKERRIES_V2/FRONT_COURTYARD,area
7,helipad,MP_SKERRIES_V2/HELIPAD,area
8,lighthouse,MP_SKERRIES_V2/LIGHTHOUSE,area
9,main_building,MP_SKERRIES_V2/MAIN_BUILDING,area
10,road,MP_SKERRIES_V2/ROAD,area
11,ruins,MP_SKERRIES_V2/RUINS,area
12,terrace_storage,MP_SKERRIES_V2/TERRACE_STORAGE,area
13,water_storage,MP_SKERRIES_V2/WATER_STORAGE,area
14,workshop,MP_SKERRIES_V2/WORKSHOP,area
15,boat_launch,MP_SKERRIES_V2/BOAT_LAUNCH,area
16,old_shed,MP_SKERRIES_V2/OLD_SHED,area
17,cellar,MP_SKERRIES_V2/CELLAR,area
