string,string,localized_a,localized_a,localized_a,string,string,localized_a,string,string,string
6,folder6,a&CP_CPU_HACKING/FOLDER_6,a&CP_CPU_HACKING/FOLDER_6,a&CP_CPU_HACKING/FOLDER_6,1,1,a&CP_CPU_HACKING/DATE_6,,,
7,folder7,a&CP_CPU_HACKING/FOLDER_7,a&CP_CPU_HACKING/FOLDER_7,a&CP_CPU_HACKING/FOLDER_7,1,5,a&CP_CPU_HACKING/DATE_7,,,
8,folder8,a&CP_CPU_HACKING/FOLDER_8,a&CP_CPU_HACKING/FOLDER_8,a&CP_CPU_HACKING/FOLDER_8,1,12,a&CP_CPU_HACKING/DATE_8,,,
9,folder9,a&CP_CPU_HACKING/FOLDER_9,a&CP_CPU_HACKING/FOLDER_9,a&CP_CPU_HACKING/FOLDER_9,1,10,a&CP_CPU_HACKING/DATE_9,,,
10,folder10,a&CP_CPU_HACKING/FOLDER_10,a&CP_CPU_HACKING/FOLDER_10,a&CP_CPU_HACKING/FOLDER_10,1,3,a&CP_CPU_HACKING/DATE_10,,,
1,folder1,a&CP_CPU_HACKING/FOLDER_1,a&CP_CPU_HACKING/FOLDER_1,a&CP_CPU_HACKING/FOLDER_1,1,15,a&CP_CPU_HACKING/DATE_1,,,
2,folder2,a&CP_CPU_HACKING/FOLDER_2,a&CP_CPU_HACKING/FOLDER_2,a&CP_CPU_HACKING/FOLDER_2,1,4,a&CP_CPU_HACKING/DATE_2,,,
3,folder3,a&CP_CPU_HACKING/FOLDER_3,a&CP_CPU_HACKING/FOLDER_3,a&CP_CPU_HACKING/FOLDER_3,1,2,a&CP_CPU_HACKING/DATE_3,,,
4,folder4,a&CP_CPU_HACKING/FOLDER_4,a&CP_CPU_HACKING/FOLDER_4,a&CP_CPU_HACKING/FOLDER_4,1,6,a&CP_CPU_HACKING/DATE_4,,,
5,folder5,a&CP_CPU_HACKING/FOLDER_5,a&CP_CPU_HACKING/FOLDER_5,a&CP_CPU_HACKING/FOLDER_5,1,11,a&CP_CPU_HACKING/DATE_5,1,,
