string,string,string,string,string,string,string
choose,1,,,,,
zone,townhouses_1_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_1_hotzone_02,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_1_hotzone_03,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_1_hotzone_04,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_1_hotzone_05,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
choose,1,,,,,
zone,townhouses_2_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_6_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_6_hotzone_02,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_6_hotzone_03,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
choose,1,,,,,
zone,townhouses_3_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_3_hotzone_02,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_3_hotzone_03,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_3_hotzone_04,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_4_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,floatinghouses_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,floatinghouses_hotzone_02,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
choose,1,,,,,
zone,townhouses_5_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,townhouses_7_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
choose,1,,,,,
zone,castle_hotzone_greenhouse,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,castle_hotzone_stables,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
choose,1,,,,,
zone,library_hotzone_shops,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,zoo_hotzone_animalcare,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,moderntheater_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
zone,new_museum_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone
choose,1,,,,,
zone,fleamarket_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_hotzone.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#Zone, high tier
choose,1,,,,,
zone,zoo_hotzone_aquarium,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,1,,,,,
zone,castle_hotzone_castle,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,1,,,,,
zone,cruiseterminal_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,1,,,,,
zone,firestation_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,1,,,,,
zone,trainstation_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,1,,,,,
zone,stadium_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,1,,,,,
zone,old_museum_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,1,,,,,
zone,terminal_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,1,,,,,
zone,de_modern_theater,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,1,,,,,
zone,cityhall_hotzone_01,fortress,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
choose,3,,,,,
zone,delta_station,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
zone,delta_library,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
zone,delta_firestation,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
zone,delta_zoo,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
zone,delta_cemetary,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
zone,delta_museum,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
zone,delta_terminal,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
zone,delta_shoppingcenter,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
zone,delta_stadium,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
zone,delta_fleamarket,,mp/loot/br/delta/dmz/lootset_stronghold_high.csv,mp/loot/br/delta/dmz/lootset_cache_spawns_hotzone.csv,,#HeroFortressZone
