string,string,string,string,int
0,15976|15979|15982|15985|15986|16096,15711,white_lotus,0
1,15831|15835|15838|15842|15989|15846,15764,white_lotus,0
2,15993|15997|15850|15998|16002|15854,16159,white_lotus,0
3,15858|15862|15863|15867|16005|15868,16008,white_lotus,0
4,16011|16503|16012|15872|16015|15876,16019,white_lotus,0
0,15913|15775|15924|15785|15779|15927,15928,black_mous,0
1,15788|15931|15934|15937|15791|15938,15941,black_mous,0
2,15945|15794|15798|15946|15801|15947,15951,black_mous,0
3,15805|15955|15808|15812|15815|15956,15960,black_mous,0
4,15819|15964|15965|15820|15824|15827,15969,black_mous,0
0,16023|16024|15879|16025|16028|16029,16032,crown,0
1,15883|16036|16039|16065|16046|15884,16050,crown,0
2,16053|15885|15888|16056|15892|16060,15327,crown,0
3,15896|16064|16042|16069|15897|16073,16074,crown,0
4,16077|16081|15901|15905|15909|16085,16089,crown,0
0,12298|12385|16572|12395|13729|16569,12396,phalanx,0
1,13726|13923|13740|12389|12431|13599,13815,phalanx,0
2,13924|13801|13745|16579|16575|13736,14773,phalanx,0
3,13876|13877|13883|13881|13884|14246,13915,phalanx,0
4,14347|14348|15604|15130|13797|13925,13926,phalanx,0
0,17781|17785|17799|20238|17791|17794,17795,shadow_company,0
1,17798|17816|17817|17802|17805|17809,17812,shadow_company,0
2,20564|20561|21180|21582|20571|20575,20624,shadow_company,0
3,20592|21585|20583|20587|20588|20589,20620,shadow_company,0
4,20599|20600|20603|20606|20607|20608,20616,shadow_company,0
