string,string,localized_a,string,string
0,apartment,a&mp_strike/APARTMENT,area,
1,bank,a&mp_strike/BANK,area,
2,back_alley,a&mp_strike/BACK_ALLEY,area,
3,cafe,a&mp_strike/CAFE,area,
4,crashed_car,a&mp_strike/CRASHED_CAR,area,
5,culture_center,a&mp_strike/CULTURE_CENTER,area,
6,entrance,a&mp_strike/ENTRANCE,area,
7,flower_shop,a&mp_strike/FLOWER_SHOP,area,
8,gas_station,a&mp_strike/GAS_STATION,area,
9,electronics_store,a&mp_strike/ELECTRONICS_STORE,area,
10,hotel,a&mp_strike/HOTEL,area,
11,junkyard,a&mp_strike/JUNKYARD,area,
12,main_store,a&mp_strike/MAIN_STORE,area,
13,main_street,a&mp_strike/MAIN_STREET,area,
14,market,a&mp_strike/MARKET,area,
15,restaurant,a&mp_strike/RESTAURANT,area,
16,shops,a&mp_strike/SHOPS,area,
17,clock_tower,a&mp_strike/CLOCK_TOWER,area,
18,terrace,a&mp_strike/TERRACE,area,
19,hill,a&mp_strike/HILL,area,
20,passageway,a&mp_strike/PASSAGEWAY,area,
