string,string,localized_a,string,string
0,chicken_coop,a&MP_SHOWDOWN2/CALLOUT_CHICKEN_COOP,area,
1,east_balcony,a&MP_SHOWDOWN2/CALLOUT_EAST_BALCONY,area,
2,construction,a&MP_SHOWDOWN2/CALLOUT_CONSTRUCTION,area,
3,main_entrance,a&MP_SHOWDOWN2/CALLOUT_MAIN_ENTRANCE,area,
4,north_balcony,a&MP_SHOWDOWN2/CALLOUT_NORTH_BALCONY,area,
5,west_tunnel,a&MP_SHOWDOWN2/CALLOUT_WEST_TUNNEL,area,
6,south_balcony,a&MP_SHOWDOWN2/CALLOUT_SOUTH_BALCONY,area,
7,east_tunnel,a&MP_SHOWDOWN2/CALLOUT_EAST_TUNNEL,area,
8,statue,a&MP_SHOWDOWN2/CALLOUT_STATUE,area,
9,west_balcony,a&MP_SHOWDOWN2/CALLOUT_WEST_BALCONY,area,
10,slide,a&MP_SHOWDOWN2/CALLOUT_SLIDE,area,
11,blue_tarp,a&MP_SHOWDOWN2/CALLOUT_BLUE_TARP,area,
12,van,a&MP_SHOWDOWN2/CALLOUT_VAN,area,
13,glass_shop,a&MP_SHOWDOWN2/CALLOUT_GLASS_SHOP,area,
14,food_stalls,a&MP_SHOWDOWN2/CALLOUT_FOOD_STALLS,area,
15,cells,a&MP_SHOWDOWN2/CALLOUT_CELLS,area,
16,north_stairwell,a&MP_SHOWDOWN2/CALLOUT_NORTH_STAIRWELL,area,
17,south_stairwell,a&MP_SHOWDOWN2/CALLOUT_SOUTH_STAIRWELL,area,
18,stacks,a&MP_SHOWDOWN2/CALLOUT_STACKS,area,
