string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,grip_angled05,lasercyl_hip03,stock_dm_light_p38,none,none,iw9_me_sword01_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwingknife,equip_snapshot_grenade
0,1,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,grip_vertshort07,lasercyl_ads04,stock_dm_hvyass_p38,none,none,iw9_me_sword01_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwingknife,equip_snapshot_grenade
0,1,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,bipodgrip_small,lasercyl_hip04,stock_dm_tac_p39,none,none,iw9_me_sword01_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwingknife,equip_snapshot_grenade
1,2,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,grip_angled05,lasercyl_hip03,none,none,none,iw9_me_sword01_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwingknife,equip_snapshot_grenade
1,2,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,grip_vertshort07,lasercyl_ads04,none,none,none,iw9_me_sword01_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwingknife,equip_snapshot_grenade
1,2,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,bipodgrip_small,lasercyl_hip04,none,none,none,iw9_me_sword01_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwingknife,equip_snapshot_grenade
2,3,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,grip_angled05,none,none,none,none,iw9_me_knife_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwstar,equip_snapshot_grenade
2,3,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,grip_vertshort07,none,none,none,none,iw9_me_knife_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwstar,equip_snapshot_grenade
2,3,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,bipodgrip_small,none,none,none,none,iw9_me_knife_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwstar,equip_snapshot_grenade
3,9,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,none,none,none,none,none,iw9_me_knife_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwstar,equip_snapshot_grenade
3,9,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,none,none,none,none,none,iw9_me_knife_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwstar,equip_snapshot_grenade
3,9,archetype_assault,iw9_dm_crossbow_mp,bar_dm_tac_p38,wire_hvy_p38,none,none,none,none,none,iw9_me_knife_mp,none,none,none,none,none,none,none,none,brloot_offhand_throwstar,equip_snapshot_grenade
