string,string,string,string,string,string
zone,global,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Global
zone,loot_cache,mp/loot/br/dmz/lootset_cache_base.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Special
zone,sealion_gas,mp/loot/br/sealion/dmz/lootset_sealion_gas.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_shipwreck,mp/loot/br/sealion/dmz/lootset_sealion_shipwreck.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_residential,mp/loot/br/sealion/dmz/lootset_sealion_residential.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_treatment,mp/loot/br/sealion/dmz/lootset_sealion_treatment.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_castle,mp/loot/br/sealion/dmz/lootset_sealion_castle.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_port,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_apartments,mp/loot/br/sealion/dmz/lootset_sealion_apartments.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_greenhouse,mp/loot/br/sealion/dmz/lootset_sealion_greenhouse.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_waterways,mp/loot/br/sealion/dmz/lootset_sealion_waterways.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_town,mp/loot/br/sealion/dmz/lootset_sealion_town.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_beach,mp/loot/br/sealion/dmz/lootset_sealion_beach.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_ruins01,mp/loot/br/sealion/dmz/lootset_sealion_ruins01.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_ruins02,mp/loot/br/sealion/dmz/lootset_sealion_ruins02.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_power,mp/loot/br/sealion/dmz/lootset_sealion_power.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,sealion_ambulance,mp/loot/br/sealion/dmz/lootset_sealion_ambulance.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,brloot_ghosthunter_ghost,mp/loot/br/ghosthunter/lootset_ghost_zone.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_small,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_medium,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_large,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_hero,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,building_1,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,building_2,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_01,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_02,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_03,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_04,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_05,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_06,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_07,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_08,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_09,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_10,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,fortress_building_11,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,dev_br_mechanics_alcohol,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#DEV
zone,dev_br_mechanics_armor,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#DEV
zone,dev_br_mechanics_medical,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#DEV
zone,dev_br_mechanics_military,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#DEV
zone,dev_br_mechanics_plunder,mp/loot/br/sealion/dmz/lootset_global.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#DEV
zone,castle_hotzone_01,mp/loot/br/sealion/dmz/lootset_sealion_castle.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,castle_hotzone_02,mp/loot/br/sealion/dmz/lootset_sealion_castle.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,castle_hotzone_03,mp/loot/br/sealion/dmz/lootset_sealion_castle.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,castle_hotzone_04,mp/loot/br/sealion/dmz/lootset_sealion_castle.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,castle_hotzone_06,mp/loot/br/sealion/dmz/lootset_sealion_castle.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_hotzone_01,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_hotzone_02,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_hotzone_03,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_hotzone_04,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_hotzone_05,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_hotzone_06,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_hotzone_07,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_hotzone_08,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_cargoship,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,port_hotzone_09,mp/loot/br/sealion/dmz/lootset_sealion_port.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,beachclub_hotzone_01,mp/loot/br/sealion/dmz/lootset_sealion_beach.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,beachclub_hotzone_02,mp/loot/br/sealion/dmz/lootset_sealion_beach.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,beachclub_hotzone_03,mp/loot/br/sealion/dmz/lootset_sealion_beach.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,beachclub_hotzone_04,mp/loot/br/sealion/dmz/lootset_sealion_beach.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,beachclub_hotzone_06,mp/loot/br/sealion/dmz/lootset_sealion_beach.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,town_hotzone_01,mp/loot/br/sealion/dmz/lootset_sealion_town.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,town_hotzone_02,mp/loot/br/sealion/dmz/lootset_sealion_town.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,town_hotzone_03,mp/loot/br/sealion/dmz/lootset_sealion_town.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,town_hotzone_04,mp/loot/br/sealion/dmz/lootset_sealion_town.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,town_hotzone_05,mp/loot/br/sealion/dmz/lootset_sealion_town.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
zone,town_hotzone_06,mp/loot/br/sealion/dmz/lootset_sealion_town.csv,mp/loot/br/sealion/dmz/lootset_cache_spawns.csv,,#Zone
