string,string,string,string
0,northbridge,MP_M_CANAL/CALLOUT_NORTHBRIDGE,area
1,southbridge,MP_M_CANAL/CALLOUT_SOUTHBRIDGE,area
3,tent,MP_M_CANAL/CALLOUT_TENT,area
4,coffee,MP_M_CANAL/CALLOUT_COFFEE,area
5,brewery,MP_M_CANAL/CALLOUT_BREWERY,area
6,restaurant,MP_M_CANAL/CALLOUT_RESTAURANT,area
7,tree,MP_M_CANAL/CALLOUT_TREE,area
8,flowershop,MP_M_CANAL/CALLOUT_FLOWERSHOP,area
9,icecream,MP_M_CANAL/CALLOUT_ICECREAM,area
10,bikerental,MP_M_CANAL/CALLOUT_BIKERENTAL,area
11,cellar,MP_M_CANAL/CALLOUT_CELLAR,area
12,basement,MP_M_CANAL/CALLOUT_BASEMENT,area
13,canal,MP_M_CANAL/CALLOUT_CANAL,area
14,graffiti,MP_M_CANAL/CALLOUT_GRAFFITI,area
15,arches,MP_M_CANAL/CALLOUT_ARCHES,area
16,barge,MP_M_CANAL/CALLOUT_BARGE,area
