string,string,localized_a,string,string
0,bus,a&MP_NOGALES_GW2/CALLOUT_BUS,area,
1,casino,a&MP_NOGALES_GW2/CALLOUT_CASINO,area,
2,checkpoint,a&MP_NOGALES_GW2/CALLOUT_CHECKPOINT,area,
3,crossing,a&MP_NOGALES_GW2/CALLOUT_CROSSING,area,
4,fountain,a&MP_NOGALES_GW2/CALLOUT_FOUNTAIN,area,
5,market,a&MP_NOGALES_GW2/CALLOUT_MARKET,area,
6,mexborder,a&MP_NOGALES_GW2/CALLOUT_MEXBORDER,area,
7,park,a&MP_NOGALES_GW2/CALLOUT_PARK,area,
8,slums,a&MP_NOGALES_GW2/CALLOUT_SLUMS,area,
9,stores,a&MP_NOGALES_GW2/CALLOUT_STORES,area,
10,trucks,a&MP_NOGALES_GW2/CALLOUT_TRUCK,area,
11,underpass,a&MP_NOGALES_GW2/CALLOUT_UNDERPASS,area,
12,usborder,a&MP_NOGALES_GW2/CALLOUT_USBORDER,area,
13,water,a&MP_NOGALES_GW2/CALLOUT_WATER,area,
14,drug,a&MP_NOGALES_GW2/CALLOUT_DRUG,area,
15,mexres,a&MP_NOGALES_GW2/CALLOUT_MEXRES,area,
16,mexstore,a&MP_NOGALES_GW2/CALLOUT_MEXSTORES,area,
17,train,a&MP_NOGALES_GW2/CALLOUT_TRAIN,area,
18,truckstop,a&MP_NOGALES_GW2/CALLOUT_TRUCKSTOP,area,
19,usres,a&MP_NOGALES_GW2/CALLOUT_USRES,area,
