string,string,string
guard,ar,
guard,smg,
guard,shotgun,
guard,lmg,
rand_common,ar,
rand_common,smg,
rand_common,shotgun,
rand_common,lmg,
rand_common,sniper,
guard_plus_riotshield,ar,
guard_plus_riotshield,smg,
guard_plus_riotshield,shotgun,
guard_plus_riotshield,lmg,
guard_plus_riotshield,riotshield,
patrol_primary,ar,
patrol_primary,smg,
patrol_primary,lmg,
patrol_secondary,ar,
patrol_secondary,smg,
patrol_secondary,shotgun,
patrol_secondary,lmg,
patrol_secondary,sniper,
overwatch,ar,20
overwatch,lmg,30
overwatch,sniper,35
overwatch,rpg,10
short_range,smg,20
short_range,shotgun,20
short_range,firebug,10
short_range,strikeunit,10
medium_range,ar,
medium_range,lmg,
long_range,sniper,
gwtdm,ar,20
gwtdm,smg,20
gwtdm,shotgun,20
gwtdm,lmg,20
gwtdm,sniper,20
gwtdm,rpg,10
vehicle_patrol_rare,strikeunit,20
vehicle_patrol_rare,firebug,20
vehicle_patrol_rare,sniper,20
vehicle_patrol_rare,rpg,10
biolab,ar,20
biolab,smg,20
biolab,lmg,20
biolab,shotgun,10
convoy_attack_turret,lmg,
