string,string,string,string,string,string,string,string
saba_hydro,modernVillage,5,8,12,1,1,1
saba_hydro,redVillage,5,8,15,1,1,1
saba_hydro,hydroStation,4,8,12,3,1,1
saba_hydro,subStation,3,6,10,2,1,1
saba_hydro,orphan,0,6,9,1,1,1
saba_oilfield,oilProcessing,4,5,12,1,1,1
saba_oilfield,refineryStorage,5,8,15,1,1,1
saba_oilfield,oilAdmin,4,6,9,1,1,1
saba_oilfield,orphan,0,6,9,1,1,1
saba_exhume,upperQuarry,4,7,14,1,1,1
saba_exhume,thePit,9,14,25,2,1,1
saba_exhume,quarryProcessing,4,7,14,1,1,1
saba_exhume,quarryWorkcamp,4,7,14,1,1,1
saba_exhume,quarrySteppes,3,7,14,1,1,1
saba_exhume,orphan,0,6,9,1,1,1
saba_caves,caveFields,4,8,16,1,1,1
saba_caves,caves,7,14,21,3,1,1
saba_caves,caveVillage,4,6,12,1,1,1
saba_caves,orphan,0,6,9,1,1,1
saba_fort,storage,5,7,14,2,1,1
saba_fort,village,4,8,10,1,1,1
saba_fort,fortEntrance,4,8,10,1,1,1
saba_fort,fort,7,12,24,3,1,1
saba_fort,orphan,4,8,8,1,1,1
saba_lone,lonePort,4,5,12,1,1,1
saba_lone,loneStorage,4,6,8,2,1,1
saba_lone,loneShip,4,5,6,1,1,1
saba_lone,portAuthority,4,6,8,3,1,1
saba_lone,orphan,0,4,8,1,1,1
saba_sira,football,5,7,14,1,1,1
saba_sira,coastline,4,6,10,1,1,1
saba_sira,village,5,7,14,1,1,1
saba_sira,downtown,5,10,20,2,1,1
saba_sira,mall,5,10,20,3,1,1
saba_sira,promenade,5,10,20,1,1,1
saba_sira,orphan,0,6,10,1,1,1
saba_cemetery,theWash,0,0,0,1,1,1
saba_cemetery,cemetery,0,0,0,1,1,1
saba_cemetery,orphan,0,0,0,1,1,1
saba_sunken,shipwreck,4,7,10,1,1,1
saba_sunken,underWaterVillage,4,8,16,1,1,1
saba_sunken,landVillageWest,4,8,16,1,1,1
saba_sunken,landVillageEast,4,8,16,1,1,1
saba_sunken,orphan,4,8,16,1,1,1
saba_fishtwn,fishburbs,3,6,12,1,1,1
saba_fishtwn,westfish,4,8,12,1,1,1
saba_fishtwn,eastfish,4,8,12,1,1,1
saba_fishtwn,fishpalms,0,4,8,1,1,1
saba_fishtwn,fishlight,3,6,10,1,1,1
saba_fishtwn,fishhotel,3,6,10,1,1,1
saba_fishtwn,fishresort,3,6,10,1,1,1
saba_fishtwn,fishmarket,3,6,10,1,1,1
saba_fishtwn,fishmarina,3,6,10,1,1,1
saba_fishtwn,fishrestaurant,3,6,10,1,1,1
saba_fishtwn,fishandchips,3,6,10,1,1,1
saba_fishtwn,orphan,0,4,0,1,1,1
saba_airport,terminal,8,12,20,3,1,1
saba_airport,tarmac,5,6,10,1,1,1
saba_airport,garage,5,6,12,2,1,1
saba_airport,gates,5,6,12,1,1,1
saba_airport,tower,5,6,12,2,1,1
saba_airport,orphan,4,6,8,1,1,1
saba_oldtwn,oldtwnPalace,12,15,18,3,1,1
saba_oldtwn,eastgateHotel,12,14,16,2,1,1
