string,string,string,string,string,string,string,string,string,string,string
saba_hydro,modernVillage,10,20,21,1,1,3,,,2
saba_hydro,redVillage,12,25,26,1,1,3,,,
saba_hydro,hydroStation,8,15,16,3,1,3,,,
saba_hydro,subStation,3,10,11,2,0,3,,,
saba_hydro,orphan,0,5,6,1,0,3,,,
saba_oilfield,oilProcessing,8,20,21,1,0,3,,,1
saba_oilfield,refineryStorage,10,25,26,1,0,3,,,
saba_oilfield,oilAdmin,6,10,11,2,1,3,,,
saba_oilfield,orphan,3,6,7,1,0,3,,,
saba_exhume,upperQuarry,8,15,16,1,1,3,,,1
saba_exhume,thePit,15,22,23,2,0,3,,,
saba_exhume,quarryProcessing,9,15,16,1,0,3,,,
saba_exhume,quarryWorkcamp,7,15,16,1,1,3,,,
saba_exhume,quarrySteppes,6,10,11,1,1,3,,,
saba_exhume,orphan,6,12,14,1,0,3,,,
saba_caves,caveFields,7,15,16,1,0,3,,,3
saba_caves,caves,10,20,21,3,1,3,,,
saba_caves,caveVillage,7,20,21,2,0,3,,,
saba_caves,crashlowercaves,5,12,13,3,0,3,,,
saba_caves,ridgevillage,7,15,16,1,0,3,,,
saba_caves,bottomtown,6,10,11,1,0,3,,,
saba_caves,shadowcrashentrance,6,15,16,2,0,3,merc,1,
saba_caves,shadowcrash,6,15,16,3,0,3,merc,1,
saba_caves,orphan,6,15,16,1,0,3,,,
saba_fort,storage,8,15,16,2,0,3,,,2
saba_fort,village,4,10,11,1,0,3,,,
saba_fort,fortEntrance,4,8,9,1,1,3,,,
saba_fort,fort,10,18,19,3,0,3,,,
saba_fort,orphan,4,8,9,1,1,3,,,
saba_lone,lonePort,8,15,16,1,1,3,,,1
saba_lone,loneStorage,8,20,21,2,0,3,,,
saba_lone,loneShip,8,15,16,1,0,3,,,
saba_lone,portAuthority,8,15,16,1,1,3,,,
saba_lone,orphan,4,8,9,1,1,3,,,
saba_sira,football,10,15,16,1,0,3,,,2
saba_sira,coastline,8,13,14,1,0,3,,,
saba_sira,village,10,15,16,1,2,3,,,
saba_sira,downtown,8,15,16,2,2,3,,,
saba_sira,mall,11,18,19,3,2,3,,,
saba_sira,promenade,8,15,16,1,0,3,,,
saba_sira,orphan,0,6,7,1,0,3,,,
saba_cemetery,compound,4,8,9,1,1,3,,,1
saba_cemetery,keeper,2,6,7,1,1,3,,,
saba_cemetery,tombstones,4,8,9,1,1,3,,,
saba_cemetery,village,4,8,9,1,1,3,,,
saba_cemetery,villagesub7,4,8,9,1,1,3,,,
saba_cemetery,orphan,0,5,6,1,1,3,,,
saba_sunken,shipwreck,6,12,13,1,0,3,,,2
saba_sunken,underWaterVillage,8,20,21,1,1,3,,,
saba_sunken,landVillageWest,7,15,16,1,0,3,,,
saba_sunken,landVillageEast,8,12,13,1,0,3,,,
saba_sunken,orphan,4,8,9,1,2,3,,,
saba_fishtwn,fishburbs,6,10,11,1,0,3,,,2
saba_fishtwn,westfish,6,10,11,2,1,3,,,
saba_fishtwn,eastfish,6,12,13,2,1,3,,,
saba_fishtwn,fishpalms,4,8,9,1,0,3,,,
saba_fishtwn,fishlight,6,10,11,1,0,3,,,
saba_fishtwn,fishhotel,6,10,11,1,1,3,,,
saba_fishtwn,fishresort,6,10,11,1,1,3,,,
saba_fishtwn,fishmarket,6,10,11,1,0,3,,,
