string,string,string,string
0,lv1_garage,MP_BIO_LAB/CALLOUT_GARAGE,area
1,lv1_restroom,MP_BIO_LAB/CALLOUT_GARAGE,area
2,lv1_north_hallway,MP_BIO_LAB/CALLOUT_BASEMENT_HALLWAY,area
3,lv1_south_hallway,MP_BIO_LAB/CALLOUT_BASEMENT_HALLWAY,area
4,lv1_transition_room,MP_BIO_LAB/CALLOUT_TRANSITION_ROOM,area
5,lv1_north_room,MP_BIO_LAB/CALLOUT_STORAGE_ROOM,area
6,lv1_data_center,MP_BIO_LAB/CALLOUT_DATA_CENTER,area
7,lv1_south_room_a,MP_BIO_LAB/CALLOUT_MA_ROOM,area
8,lv1_south_room_b,MP_BIO_LAB/CALLOUT_GARAGE,area
9,lv1_generator_room,MP_BIO_LAB/CALLOUT_GENERATOR_ROOM,area
10,lv1_east_hallway,MP_BIO_LAB/CALLOUT_BASEMENT_HALLWAY,area
11,lv2_central_courtyard,MP_BIO_LAB/CALLOUT_COURTYARD,area
12,lv2_lobby,MP_BIO_LAB/CALLOUT_LOBBY,area
13,lv2_west_hallway,MP_BIO_LAB/CALLOUT_OFFICE_FLOOR,area
14,lv2_additional_offices,MP_BIO_LAB/CALLOUT_ADDITIONAL_OFFICE,area
15,lv2_office_storage,MP_BIO_LAB/CALLOUT_OFFICE_STORAGE,area
16,lv2_south_hallway,MP_BIO_LAB/CALLOUT_OFFICE_FLOOR,area
17,lv2_office,MP_BIO_LAB/CALLOUT_OFFICE,area
18,lv2_east_hallway,MP_BIO_LAB/CALLOUT_OFFICE_FLOOR,area
19,lv2_file_cabinets,MP_BIO_LAB/CALLOUT_ARCHIVES,area
20,lv2_gym,MP_BIO_LAB/CALLOUT_GYM,area
21,lv2_restaurant,MP_BIO_LAB/CALLOUT_RESTAURANT,area
22,lv2_north_hallway,MP_BIO_LAB/CALLOUT_OFFICE_FLOOR,area
23,lv3_north_hallway,MP_BIO_LAB/CALLOUT_LAB_FLOOR,area
24,lv3_west_hallway,MP_BIO_LAB/CALLOUT_LAB_FLOOR,area
25,lv3_south_hallway,MP_BIO_LAB/CALLOUT_LAB_FLOOR,area
26,lv3_east_hallway,MP_BIO_LAB/CALLOUT_LAB_FLOOR,area
27,lv3_hospital,MP_BIO_LAB/CALLOUT_HOSPITAL,area
28,lv3_cold_storage_lab,MP_BIO_LAB/CALLOUT_CORE_LAB,area
29,lv3_security_storage_lab,MP_BIO_LAB/CALLOUT_CORE_LAB,area
30,lv3_bio_automation_lab,MP_BIO_LAB/CALLOUT_BIO_AUTOMATION_LAB,area
31,lv3_armory_room,MP_BIO_LAB/CALLOUT_ARMORY_ROOM,area
32,lv3_side_lab,MP_BIO_LAB/CALLOUT_SIDE_LAB,area
33,stairwell_a_1,MP_BIO_LAB/CALLOUT_STAIRWELL,area
34,stairwell_a_2,MP_BIO_LAB/CALLOUT_STAIRWELL,area
35,stairwell_a_3,MP_BIO_LAB/CALLOUT_STAIRWELL,area
36,stairwell_a_4,MP_BIO_LAB/CALLOUT_STAIRWELL,area
37,stairwell_b_1,MP_BIO_LAB/CALLOUT_STAIRWELL,area
38,stairwell_b_2,MP_BIO_LAB/CALLOUT_STAIRWELL,area
39,stairwell_b_3,MP_BIO_LAB/CALLOUT_STAIRWELL,area
40,stairwell_b_4,MP_BIO_LAB/CALLOUT_STAIRWELL,area
41,stairwell_c_1,MP_BIO_LAB/CALLOUT_STAIRWELL,area
42,stairwell_c_2,MP_BIO_LAB/CALLOUT_STAIRWELL,area
43,stairwell_c_3,MP_BIO_LAB/CALLOUT_STAIRWELL,area
44,stairwell_c_4,MP_BIO_LAB/CALLOUT_STAIRWELL,area
45,stairwell_d_1,MP_BIO_LAB/CALLOUT_STAIRWELL,area
46,stairwell_d_2,MP_BIO_LAB/CALLOUT_STAIRWELL,area
47,stairwell_d_3,MP_BIO_LAB/CALLOUT_STAIRWELL,area
48,stairwell_d_4,MP_BIO_LAB/CALLOUT_STAIRWELL,area
49,lv2_infil_room,MP_BIO_LAB/CALLOUT_OFFICE_FLOOR,area
50,lv1_infil_room,MP_BIO_LAB/CALLOUT_BASEMENT_HALLWAY,area
