string,string,string
1,c4_carry,screen_icon_suitcase_bomb_open
2,hard_drive_carry,screen_icon_suitcase_bomb_closed
3,satellite_radar_carry,screen_icon_radar_dish
4,satellite_antenna_carry,screen_icon_radar_antenna
5,satellite_controller_carry,screen_icon_radar_controller
6,green_keycard_carry,screen_icon_keycard_green
7,red_keycard_carry,screen_icon_keycard_red
8,blue_keycard_carry,screen_icon_keycard_blue
9,punch_card_carry,screen_icon_suitcase_bomb_closed
10,usb_1_carry,screen_icon_suitcase_bomb_closed
11,usb_2_carry,screen_icon_vest_bomb
12,usb_3_carry,screen_icon_vest_bomb
13,usb_4_carry,screen_icon_vest_bomb
14,gasmask,ui_mp_br_mission_reward_gasmask
16,self_revive,ui_mp_br_player_status_token_self_revive
17,c4_breach_charge,hud_icon_equipment_c4
18,halligan,icon_weapon_me_tactical_knife_v51
19,oxygen_tank,hud_icon_equipment_oxygen
20,sentry,hud_icon_killstreak_sentry
21,cluster_spike,hud_icon_killstreak_clusterspike
22,assault_drone,hud_icon_killstreak_assault_drone
23,recon_drone,hud_icon_killstreak_radardrone_recon
24,assault_suit,hud_icon_killstreak_assault_suit
25,buzzsaw,cp_tac_waypoint_buzzsaw
26,raid_keycard,ui_mp_br_loot_icon_keycard
27,raid_nukecore,hud_icon_objective_elite_radioactive
