string,string,localized
1,bb_shopkeeper_list_01,&MP_DMZ_NOTES/BBSHOP_LIST01
2,bb_shopkeeper_list_02,&MP_DMZ_NOTES/BBSHOP_LIST02
3,bb_shopkeeper_list_03,&MP_DMZ_NOTES/BBSHOP_LIST03
4,bb_shopkeeper_list_04,&MP_DMZ_NOTES/BBSHOP_LIST04
5,bb_shopkeeper_list_05,&MP_DMZ_NOTES/BBSHOP_LIST05
6,bb_shopkeeper_list_06,&MP_DMZ_NOTES/BBSHOP_LIST06
7,bb_shopkeeper_list_07,&MP_DMZ_NOTES/BBSHOP_LIST07
8,pmc_missile_silo_hint_hydro,&PMC_S5/MISSILE_SILO_HINT_HYDRO
9,pmc_missile_silo_hint_fishtwn,&PMC_S5/MISSILE_SILO_HINT_FISHTWN
10,pmc_missile_silo_hint_mtntwn,&PMC_S5/MISSILE_SILO_HINT_MTNTWN
11,pmc_missile_silo_hint_suburbs_04,&PMC_S5/MISSILE_SILO_HINT_SUBURBS_04
12,pmc_missile_silo_hint_sira,&PMC_S5/MISSILE_SILO_HINT_SIRA
13,pmc_missile_silo_hint_caves,&PMC_S5/MISSILE_SILO_HINT_CAVES
14,pmc_missile_silo_hint_marshland,&PMC_S5/MISSILE_SILO_HINT_MARSHLANDS
15,pmc_cartel_computer,&PMC_S5/CARTEL_LOCATE_EMAIL
