string,string,localized_a,int
invalid,UNKNOWN,a&PRESENCE/UNKNOWN_MAP,0
mp_farm_18,GOLD,a&PRESENCE/MP_FARM_18,0
mp_museum,GOLD,a&PRESENCE/MP_MUSEUM,0
mp_swap_meet,GOLD,a&PRESENCE/MP_SWAP_MEET,0
mp_luxury,GOLD,a&PRESENCE/MP_LUXURY,0
mp_grandprix_pm_2,GOLD,a&PRESENCE/MP_GRANDPRIX_PM_2,0
mp_sira_gw,GOLD,a&PRESENCE/MP_SIRA_GW,0
mp_fishtown_gw,GOLD,a&PRESENCE/MP_FISHTOWN_GW,0
mp_nogales_gw2,GOLD,a&PRESENCE/MP_NOGALES_GW2,0
mp_fort,GOLD,a&PRESENCE/MP_FORT,0
mp_embassy,GOLD,a&PRESENCE/MP_EMBASSY,0
mp_hydro,GOLD,a&PRESENCE/MP_HYDRO,0
mp_wartorn,GOLD,a&PRESENCE/MP_WARTORN,0
mp_wartorn_gw,GOLD,a&PRESENCE/MP_WARTORN_GW,0
mp_crossing,GOLD,a&PRESENCE/MP_CROSSING,0
mp_catedral,GOLD,a&PRESENCE/MP_CATEDRAL,0
mp_historic_gw2,GOLD,a&PRESENCE/MP_HISTORIC_GW2,0
cp_hydro,GOLD,a&PRESENCE/CP_HYDRO,0
cp_mission_esc,GOLD,a&PRESENCE/CP_MISSION_ESC,0
cp_observatory,GOLD,a&PRESENCE/CP_OBSERVATORY,0
mp_benchmark,GOLD,a&PRESENCE/MP_HYDRO,0
mp_don3_mobile,GOLD,a&PRESENCE/MP_DON3_MOBILE,0
mp_saba,GOLD,a&PRESENCE/MP_SABA,0
mp_saba2,GOLD,a&PRESENCE/MP_SABA,0
mp_saba_pm,GOLD,a&PRESENCE/MP_SABA_PM,0
mp_futbol,GOLD,a&PRESENCE/MP_FUTBOL,0
mp_shipment_iw9,GOLD,a&PRESENCE/MP_SHIPMENT_IW9,0
mp_shoothouse2,GOLD,a&PRESENCE/MP_SHOOTHOUSE2,0
mp_bio_lab,GOLD,a&PRESENCE/MP_BIO_LAB,0
cp_raid1,GOLD,a&PRESENCE/CP_RAID1,0
mp_shipment_iw9_xmas,GOLD,a&PRESENCE/MP_SHIPMENT_IW9,0
mp_observatory,GOLD,a&PRESENCE/MP_OBSERVATORY,0
mp_observe_gw,GOLD,a&PRESENCE/MP_OBSERVE_GW,0
mp_regional_gw,GOLD,a&PRESENCE/MP_REGIONAL_GW,0
mp_sealion,GOLD,a&PRESENCE/MP_SEALION,0
mp_davos,GOLD,a&PRESENCE/MP_DAVOS,0
cp_raid1_trap,GOLD,a&PRESENCE/CP_RAID1_TRAP,0
cp_lone,GOLD,a&PRESENCE/CP_LONE,0
mp_skerries_v2,GOLD,a&PRESENCE/MP_SKERRIES_V2,0
mp_m_alley,GOLD,a&PRESENCE/MP_M_ALLEY,0
mp_m_blacksite2,GOLD,a&PRESENCE/MP_M_BLACKSITE2,0
mp_m_exhibit,GOLD,a&PRESENCE/MP_M_EXHIBIT,0
mp_oilfield_6v6,GOLD,a&PRESENCE/MP_OILFIELD_6V6,0
mp_oilfield_gw,GOLD,a&PRESENCE/MP_OILFIELD_GW,0
mp_caves_gw,GOLD,a&PRESENCE/MP_CAVES_GW,0
cp_lone,GOLD,a&PRESENCE/CP_LONE,0
cp_raid1_boss1,GOLD,a&PRESENCE/CP_RAID1_BOSS1,0
mp_intercept,GOLD,a&PRESENCE/MP_INTERCEPT,0
mp_biobunker,GOLD,a&PRESENCE/MP_BIOBUNKER,0
mp_delta,GOLD,a&PRESENCE/MP_DELTA,0
mp_delta_pm,GOLD,a&PRESENCE/MP_DELTA_PM,0
mp_showdown2,GOLD,a&PRESENCE/MP_SHOWDOWN2,0
mp_townhouses,GOLD,a&PRESENCE/MP_TOWNHOUSES,0
mp_dogtown_gw,GOLD,a&PRESENCE/MP_DOGTOWN_GW,0
mp_forsaken_gw,GOLD,a&PRESENCE/MP_FORSAKEN_GW,0
mp_m_penthouse,GOLD,a&PRESENCE/MP_M_PENTHOUSE,0
mp_m_mercado,GOLD,a&PRESENCE/MP_M_MERCADO,0
mp_floatinghouses,GOLD,a&PRESENCE/MP_FLOATINGHOUSES,0
cp_jugg_maze,GOLD,a&PRESENCE/CP_JUGG_MAZE,0
mp_bounty,GOLD,a&PRESENCE/MP_BOUNTY,0
mp_strike,GOLD,a&PRESENCE/MP_STRIKE,0
mp_m_canal,GOLD,a&PRESENCE/MP_M_CANAL,0
mp_m_lounge,GOLD,a&PRESENCE/MP_M_LOUNGE,0
mp_arn_zone1,GOLD,a&PRESENCE/MP_ARN_ZONE1,0
mp_narcos,GOLD,a&PRESENCE/MP_NARCOS,0
mp_toujane2,GOLD,a&PRESENCE/MP_TOUJANE2,0
mp_m_king,GOLD,a&PRESENCE/MP_M_KING,0
mp_m_fight,GOLD,a&PRESENCE/MP_M_FIGHT,0
mp_catedral_hlwn,GOLD,a&PRESENCE/MP_CATEDRAL_HLWN,0
mp_embassy_hlwn,GOLD,a&PRESENCE/MP_EMBASSY_HLWN,0
