string,string,string,string,string
tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,revive,3,,
rollChance,ammo,5,,
rollChance,health,2,,
rollChance,plunder,2,,
rollChance,gear,1,,
item,brloot_ammo_12g,15,,
item,brloot_ammo_50cal,23,,
item,brloot_ammo_762,30,,
item,brloot_ammo_919,23,,
item,brloot_ammo_rocket,9,,
item,brloot_equip_gasmask,5,,
item,brloot_backpack_medium,8,,
item,brloot_backpack_large,2,,
item,brloot_plate_carrier_2,10,,
item,brloot_super_munitionsbox,3,,
item,brloot_super_armorbox,3,,
item,brloot_plunder_cash_common_1,10,,
item,brloot_plunder_cash_uncommon_1,20,,
item,brloot_plunder_cash_uncommon_2,30,,
item,brloot_plunder_cash_uncommon_3,30,,
tagChance,lethal,1,,
tagChance,super,2,,
tagChance,tactical,1,,
tagChance,key&keytier1&pristine,1,,
reqAdd,(!weapon),3,0,100
reqAdd,ammo,1,0,100
