string,string
11,russian_letter_a
12,russian_letter_b
13,russian_letter_c
14,russian_letter_d
15,russian_letter_e
16,russian_letter_f
17,russian_letter_g
18,russian_letter_h
19,russian_letter_i
20,russian_letter_j
21,russian_letter_k
22,russian_letter_l
23,russian_letter_m
24,russian_letter_n
25,russian_letter_o
26,russian_letter_p
27,russian_letter_q
28,russian_letter_r
29,russian_letter_s
30,russian_letter_t
31,russian_letter_u
32,russian_letter_v
33,russian_letter_w
34,russian_letter_x
35,russian_letter_y
36,russian_letter_z
37,russian_letter_clear
