string,string,localized_a,string,string
0,backlot,a&MP_OILFIELD/CALLOUT_BACKLOT,area,
1,train_docks,a&MP_OILFIELD/CALLOUT_TRAIN_DOCKS,area,
2,cargo,a&MP_OILFIELD/CALLOUT_CARGO,area,
3,center_chimney,a&MP_OILFIELD/CALLOUT_CENTER_CHIMNEY,area,
4,control_room,a&MP_OILFIELD/CALLOUT_CONTROL_ROOM,area,
5,dropoff,a&MP_OILFIELD/CALLOUT_DROPOFF,area,
6,east_chimney,a&MP_OILFIELD/CALLOUT_EAST_CHIMNEY,area,
7,gate,a&MP_OILFIELD/CALLOUT_GATE,area,
8,lab,a&MP_OILFIELD/CALLOUT_LAB,area,
9,office,a&MP_OILFIELD/CALLOUT_OFFICE,area,
10,server_room,a&MP_OILFIELD/CALLOUT_SERVER_ROOM,area,
11,side_warehouse,a&MP_OILFIELD/CALLOUT_SIDE_WAREHOUSE,area,
12,spill,a&MP_OILFIELD/CALLOUT_SPILL,area,
13,storage_room,a&MP_OILFIELD/CALLOUT_STORAGE_ROOM,area,
14,surveillance,a&MP_OILFIELD/CALLOUT_SURVEILLANCE,area,
15,tunnel,a&MP_OILFIELD/CALLOUT_TUNNEL,area,
16,west_chimney,a&MP_OILFIELD/CALLOUT_WEST_CHIMNEY,area,
17,main_warehouse,a&MP_OILFIELD/CALLOUT_MAIN_WAREHOUSE,area,
