string,string,string,string
0,arm,MP_CATEDRAL/CALLOUT_ARMORY,area
1,by,MP_CATEDRAL/CALLOUT_BACK_YARD,area
2,bar,MP_CATEDRAL/CALLOUT_BAR,area
3,cy,MP_CATEDRAL/CALLOUT_COURTYARD,area
4,dorm,MP_CATEDRAL/CALLOUT_DORM,area
5,fy,MP_CATEDRAL/CALLOUT_FRONT_YARD,area
6,gr,MP_CATEDRAL/CALLOUT_GAMING_ROOM,area
7,garage,MP_CATEDRAL/CALLOUT_GARAGE,area
8,gh,MP_CATEDRAL/CALLOUT_GUEST_HOUSE,area
9,kitchen,MP_CATEDRAL/CALLOUT_KITCHEN,area
10,office,MP_CATEDRAL/CALLOUT_OFFICE,area
11,parking,MP_CATEDRAL/CALLOUT_PARKING,area
12,radio,MP_CATEDRAL/CALLOUT_RADIO_TOWER,area
13,shack,MP_CATEDRAL/CALLOUT_SHACK,area
14,soccer,MP_CATEDRAL/CALLOUT_SOCCER_FIELD,area
15,storage,MP_CATEDRAL/CALLOUT_STORAGE,area
16,terrace,MP_CATEDRAL/CALLOUT_TERRACE,area
17,boss,MP_CATEDRAL/CALLOUT_BOSS_ROOM,area
18,ba,MP_CATEDRAL/CALLOUT_BACK_ALLEY,area
19,balcony,MP_CATEDRAL/CALLOUT_BALCONY,area
20,corridor,MP_CATEDRAL/CALLOUT_CORRIDOR,area
